# Matter power spectrum P(k) at redshift z=0
# for k=1.01412e-05 to 1.60914 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.014116674150e-05       5.361032749842e+01 
       1.276697251611e-05       6.696576486645e+01 
       1.607266613221e-05       8.364825168573e+01 
       2.023428782913e-05       1.044864916187e+02 
       2.547345913765e-05       1.305156171482e+02 
       3.206918503468e-05       1.630284107904e+02 
       4.037271197569e-05       2.036393075241e+02 
       5.082623304924e-05       2.543642386650e+02 
       6.398643637147e-05       3.177198447446e+02 
       8.055415075819e-05       3.968468172685e+02 
       1.014116674150e-04       4.956625297797e+02 
       1.276697251611e-04       6.190490003908e+02 
       1.607266613221e-04       7.730824726022e+02 
       2.023428782913e-04       9.653102784561e+02 
       2.547345913765e-04       1.205078117116e+03 
       3.206918503468e-04       1.503905935883e+03 
       4.037271197569e-04       1.875900015023e+03 
       5.082623304924e-04       2.338179319068e+03 
       6.398643637147e-04       2.911274734624e+03 
       8.055415075819e-04       3.619440666099e+03 
       1.014116674150e-03       4.490734764433e+03 
       1.276697251611e-03       5.556547688844e+03 
       1.607266613221e-03       6.850024589059e+03 
       2.023428782913e-03       8.403695146404e+03 
       2.547345913765e-03       1.024460510698e+04 
       3.206918503468e-03       1.238733424109e+04 
       4.037271197569e-03       1.482405456082e+04 
       5.082623304924e-03       1.751121824385e+04 
       6.398643637147e-03       2.035352738288e+04 
       8.055415075819e-03       2.318649367776e+04 
       1.014116674150e-02       2.575599049364e+04 
       1.276697251611e-02       2.770883774085e+04 
       1.607266613221e-02       2.860272230439e+04 
       2.023428776316e-02       2.798505817843e+04 
       2.547339610807e-02       2.560205369511e+04 
       3.205868750484e-02       2.175586322162e+04 
       3.996102601595e-02       1.768104359610e+04 
       4.696416159588e-02       1.518775725908e+04 
       5.199420473591e-02       1.398479521057e+04 
       5.608654351646e-02       1.325514713609e+04 
       5.971445304118e-02       1.271524768049e+04 
       6.308419756944e-02       1.224985479058e+04 
       6.630297750065e-02       1.180253295250e+04 
       6.943423956433e-02       1.134400719628e+04 
       7.251925490298e-02       1.085746831334e+04 
       7.558688649255e-02       1.034021282061e+04 
       7.865853184950e-02       9.794958351209e+03 
       8.175084531817e-02       9.230451175172e+03 
       8.487733984632e-02       8.661354022903e+03 
       8.804938054895e-02       8.102741929240e+03 
       9.127682804532e-02       7.570390101767e+03 
       9.456847000679e-02       7.079055778097e+03 
       9.793231921981e-02       6.640018279215e+03 
       1.013758244665e-01       6.260347746355e+03 
       1.049060226655e-01       5.942379820650e+03 
       1.085296503354e-01       5.682788701728e+03 
       1.122532262016e-01       5.473008386452e+03 
       1.160831128976e-01       5.300023790000e+03 
       1.200255632600e-01       5.147007041692e+03 
       1.240867551231e-01       4.995747603829e+03 
       1.282728174793e-01       4.828604551126e+03 
       1.325898501741e-01       4.633038415478e+03 
       1.370439388469e-01       4.403365414908e+03 
       1.416411665184e-01       4.143047638435e+03 
       1.463876230261e-01       3.864541606933e+03 
       1.512894133757e-01       3.585479670414e+03 
       1.563526659938e-01       3.325355229172e+03 
       1.615835418131e-01       3.100119197245e+03 
       1.669882450902e-01       2.917932869912e+03 
       1.725730368349e-01       2.777725539591e+03 
       1.783442517135e-01       2.668913413376e+03 
       1.843083192852e-01       2.574943622176e+03 
       1.904717904186e-01       2.477076218981e+03 
       1.968413697435e-01       2.359504321367e+03 
       2.034239550013e-01       2.218231150607e+03 
       2.102266841871e-01       2.062353003712e+03 
       2.172569914350e-01       1.908124518716e+03 
       2.245226726834e-01       1.771266713982e+03 
       2.320319623037e-01       1.660461403547e+03 
       2.397936220804e-01       1.574949717789e+03 
       2.478170442214e-01       1.504025927475e+03 
       2.561123704838e-01       1.432755440559e+03 
       2.646906300415e-01       1.351474876663e+03 
       2.735638994456e-01       1.260132037986e+03 
       2.827454889939e-01       1.168057384269e+03 
       2.922501610899e-01       1.086738010697e+03 
       3.020943878615e-01       1.020682280731e+03 
       3.122966575414e-01       9.649902539459e+02 
       3.228778421191e-01       9.109428634795e+02 
       3.338616428389e-01       8.525179957271e+02 
       3.452751356900e-01       7.921022654050e+02 
       3.571494467707e-01       7.360857621622e+02 
       3.695205983017e-01       6.880498478993e+02 
       3.824305816453e-01       6.450647980890e+02 
       3.959287363555e-01       6.022353734447e+02 
       4.100735478752e-01       5.587733192401e+02 
       4.249350272724e-01       5.177836595002e+02 
       4.405979148607e-01       4.808427244680e+02 
       4.571660737341e-01       4.462029635304e+02 
       4.747686411320e-01       4.118728711093e+02 
       4.935688437062e-01       3.788529825100e+02 
       5.137769684179e-01       3.482749223990e+02 
       5.356700340777e-01       3.186942673895e+02 
       5.596226854632e-01       2.898836385243e+02 
       5.861577270055e-01       2.623930194155e+02 
       6.160328225551e-01       2.354628796231e+02 
       6.503978562307e-01       2.091021011438e+02 
       6.911000783626e-01       1.829010545487e+02 
       7.413224614334e-01       1.565254703841e+02 
       8.070282897348e-01       1.294130340588e+02 
       9.003811591600e-01       1.010098198751e+02 
       1.046539380225e+00       7.154623324848e+01 
       1.281367153034e+00       4.464299545544e+01 
       1.609144184167e+00       2.601202308885e+01 
