# Matter power spectrum P(k) at redshift z=0
# for k=9.99902e-06 to 1.58673 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.999020785504e-06       5.658567652142e+01 
       1.258802135993e-05       7.068232271961e+01 
       1.584737997422e-05       8.829067218433e+01 
       1.995066935991e-05       1.102854472418e+02 
       2.511640463949e-05       1.377591884242e+02 
       3.161968005356e-05       1.720764621632e+02 
       3.980681873223e-05       2.149413322562e+02 
       5.011381566468e-05       2.684816554977e+02 
       6.308955602224e-05       3.353537903022e+02 
       7.942504529521e-05       4.188729609580e+02 
       9.999020785504e-05       5.231742608879e+02 
       1.258802135993e-04       6.534113451362e+02 
       1.584737997422e-04       8.159989441702e+02 
       1.995066935991e-04       1.018905865472e+03 
       2.511640463949e-04       1.272001446428e+03 
       3.161968005356e-04       1.587454417212e+03 
       3.980681873223e-04       1.980172190834e+03 
       5.011381566468e-04       2.468256973494e+03 
       6.308955602224e-04       3.073438487478e+03 
       7.942504529521e-04       3.821419174775e+03 
       9.999020785504e-04       4.741981448590e+03 
       1.258802135993e-03       5.868525274002e+03 
       1.584737997422e-03       7.236467127444e+03 
       1.995066935991e-03       8.880761565082e+03 
       2.511640463949e-03       1.083089793637e+04 
       3.161968005356e-03       1.310356264000e+04 
       3.980681873223e-03       1.569222660605e+04 
       5.011381566468e-03       1.855317013335e+04 
       6.308955602224e-03       2.158793973436e+04 
       7.942504529521e-03       2.462658404297e+04 
       9.999020785504e-03       2.740276266045e+04 
       1.258802135993e-02       2.954533451726e+04 
       1.584737997422e-02       3.058502169669e+04 
       1.995066931932e-02       3.003580316482e+04 
       2.511636096117e-02       2.760069688185e+04 
       3.161166441124e-02       2.355582196493e+04 
       3.946479534101e-02       1.915070530117e+04 
       4.660643710192e-02       1.635881080426e+04 
       5.172159771562e-02       1.502187418454e+04 
       5.585324473159e-02       1.422197111386e+04 
       5.950206533408e-02       1.363590861496e+04 
       6.288385908355e-02       1.313548222044e+04 
       6.610972640125e-02       1.265701368105e+04 
       6.924498069317e-02       1.216740229669e+04 
       7.233189442515e-02       1.164928295409e+04 
       7.539991421013e-02       1.109759273907e+04 
       7.847079948705e-02       1.051604208633e+04 
       8.156143985361e-02       9.912899665738e+03 
       8.468550679927e-02       9.304089917682e+03 
       8.785447528112e-02       8.705053443028e+03 
       9.107828362485e-02       8.133333856595e+03 
       9.436577531357e-02       7.604562348370e+03 
       9.772500362829e-02       7.131025093547e+03 
       1.011634468952e-01       6.720957279330e+03 
       1.046881636110e-01       6.376742965864e+03 
       1.083059059988e-01       6.095401578797e+03 
       1.120232041168e-01       5.868148859332e+03 
       1.158464286566e-01       5.681153318409e+03 
       1.197818380526e-01       5.516571791773e+03 
       1.238356138880e-01       5.355024817753e+03 
       1.280138875128e-01       5.177807897145e+03 
       1.323227600815e-01       4.970760687242e+03 
       1.367683177401e-01       4.727356471034e+03 
       1.413566433825e-01       4.450544155469e+03 
       1.460938261856e-01       4.153032727149e+03 
       1.509859699976e-01       3.853967420699e+03 
       1.560392015696e-01       3.573907951024e+03 
       1.612596795647e-01       3.330289287214e+03 
       1.666536052440e-01       3.132514370832e+03 
       1.722272357122e-01       2.979975555504e+03 
       1.779869005848e-01       2.861965675108e+03 
       1.839390229350e-01       2.761078358873e+03 
       1.900901453712e-01       2.657130827683e+03 
       1.964469620953e-01       2.532902263169e+03 
       2.030163578074e-01       2.383142147438e+03 
       2.098054543471e-01       2.216848479194e+03 
       2.168216660160e-01       2.051238134078e+03 
       2.240727646155e-01       1.903262020422e+03 
       2.315669553691e-01       1.782944521267e+03 
       2.393129651050e-01       1.690038024226e+03 
       2.473201443557e-01       1.613659555623e+03 
       2.555985854332e-01       1.537826377419e+03 
       2.641592590645e-01       1.451627071041e+03 
       2.730141728946e-01       1.354391959298e+03 
       2.821765560985e-01       1.255485856860e+03 
       2.916610756026e-01       1.167536067670e+03 
       3.014840910626e-01       1.095940865685e+03 
       3.116639579477e-01       1.035971596750e+03 
       3.222213910294e-01       9.782695758467e+02 
       3.331799045648e-01       9.160632210445e+02 
       3.445663509251e-01       8.513584482778e+02 
       3.564115870034e-01       7.909689432023e+02 
       3.687513083959e-01       7.390809586740e+02 
       3.816271065906e-01       6.929477780421e+02 
       3.950878265422e-01       6.471799084188e+02 
       4.091913347881e-01       6.006403611381e+02 
       4.240068577434e-01       5.565390041800e+02 
       4.396181261620e-01       5.167626819331e+02 
       4.561276824169e-01       4.796487758240e+02 
       4.736629030824e-01       4.428813357090e+02 
       4.923846166890e-01       4.074027088078e+02 
       5.124997623056e-01       3.745729537530e+02 
       5.342805496686e-01       3.428943189378e+02 
       5.580944815287e-01       3.119987003804e+02 
       5.844533305218e-01       2.825161250549e+02 
       6.140969045175e-01       2.536751037017e+02 
       6.481445194156e-01       2.254324162602e+02 
       6.883874584729e-01       1.974053659651e+02 
       7.378978345783e-01       1.692124917364e+02 
       8.024002665689e-01       1.402664503666e+02 
       8.935193552562e-01       1.099724733386e+02 
       1.035414789110e+00       7.846375422495e+01 
       1.264192638721e+00       4.930349192045e+01 
       1.586729296255e+00       2.878060396226e+01 
