# Matter power spectrum P(k) at redshift z=0
# for k=1.01217e-05 to 1.60608 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.012173918620e-05       5.400469692692e+01 
       1.274251467306e-05       6.745836759991e+01 
       1.604187553208e-05       8.426356900313e+01 
       2.019552476017e-05       1.052551117496e+02 
       2.542465932510e-05       1.314757010116e+02 
       3.200774971058e-05       1.642276644379e+02 
       4.029536948499e-05       2.051373088327e+02 
       5.072886462229e-05       2.562354002944e+02 
       6.386385678447e-05       3.200570961694e+02 
       8.039983220115e-05       3.997662211983e+02 
       1.012173918620e-04       4.993090057741e+02 
       1.274251467306e-04       6.236034982775e+02 
       1.604187553208e-04       7.787707253211e+02 
       2.019552476017e-04       9.724139329250e+02 
       2.542465932510e-04       1.213948266055e+03 
       3.200774971058e-04       1.514979462204e+03 
       4.029536948499e-04       1.889720281568e+03 
       5.072886462229e-04       2.355419640090e+03 
       6.386385678447e-04       2.932767325695e+03 
       8.039983220115e-04       3.646209486395e+03 
       1.012173918620e-03       4.524032251365e+03 
       1.274251467306e-03       5.597891366507e+03 
       1.604187553208e-03       6.901232702683e+03 
       2.019552476017e-03       8.466905961293e+03 
       2.542465932510e-03       1.032227812110e+04 
       3.200774971058e-03       1.248220503977e+04 
       4.029536948499e-03       1.493902629926e+04 
       5.072886462229e-03       1.764916931856e+04 
       6.386385678447e-03       2.051670533475e+04 
       8.039983220115e-03       2.337699614559e+04 
       1.012173918620e-02       2.597372724452e+04 
       1.274251467306e-02       2.795137696635e+04 
       1.604187553207e-02       2.886438033671e+04 
       2.019552469839e-02       2.825450139216e+04 
       2.542459933560e-02       2.586525894520e+04 
       3.199762669958e-02       2.199228129602e+04 
       3.989379515406e-02       1.787334129270e+04 
       4.691600277443e-02       1.534140984751e+04 
       5.195735875823e-02       1.412195674586e+04 
       5.605494178706e-02       1.338241348849e+04 
       5.968564952309e-02       1.283613582020e+04 
       6.305700848915e-02       1.236621162273e+04 
       6.627673783360e-02       1.191503614968e+04 
       6.940853345798e-02       1.145246420210e+04 
       7.249380050769e-02       1.096167597345e+04 
       7.556148021159e-02       1.043988953532e+04 
       7.863301868101e-02       9.889815616261e+03 
       8.172510188177e-02       9.320566828833e+03 
       8.485126408972e-02       8.745772301552e+03 
       8.802288520598e-02       8.181961886657e+03 
       9.124983631498e-02       7.644471921901e+03 
       9.454091260710e-02       7.148190197990e+03 
       9.790413232535e-02       6.704639207480e+03 
       1.013469482333e-01       6.320948172327e+03 
       1.048764001572e-01       5.999556653397e+03 
       1.084992267318e-01       5.737058136513e+03 
       1.122219482088e-01       5.524996700834e+03 
       1.160509283068e-01       5.350168505412e+03 
       1.199924206153e-01       5.195681980123e+03 
       1.240526034725e-01       5.043089829418e+03 
       1.282376061867e-01       4.874594690959e+03 
       1.325535287781e-01       4.677504016395e+03 
       1.370064569525e-01       4.446115418779e+03 
       1.416024737113e-01       4.183534056015e+03 
       1.463476688006e-01       3.902504876136e+03 
       1.512481470669e-01       3.620785338117e+03 
       1.563100367074e-01       3.358064612943e+03 
       1.615394983439e-01       3.130399372309e+03 
       1.669427358233e-01       2.946162451185e+03 
       1.725260096209e-01       2.804341422597e+03 
       1.782956537124e-01       2.694329087779e+03 
       1.842580967699e-01       2.599441653332e+03 
       1.904198885326e-01       2.500778101035e+03 
       1.967877322049e-01       2.382333396871e+03 
       2.033685237458e-01       2.239934223320e+03 
       2.101693989433e-01       2.082614514585e+03 
       2.171977892224e-01       1.926943592716e+03 
       2.244614872250e-01       1.788642044395e+03 
       2.319687233427e-01       1.676583323058e+03 
       2.397282545878e-01       1.590096081600e+03 
       2.477494674796e-01       1.518417028308e+03 
       2.560424970266e-01       1.446589626958e+03 
       2.646183644262e-01       1.364655260773e+03 
       2.734891368264e-01       1.272574251763e+03 
       2.826681134544e-01       1.179537076890e+03 
       2.921700436848e-01       1.097367502733e+03 
       3.020113842963e-01       1.030578533073e+03 
       3.122106054020e-01       9.743547125012e+02 
       3.227885575326e-01       9.198307244833e+02 
       3.337689164064e-01       8.608791452785e+02 
       3.451787274816e-01       7.999086320415e+02 
       3.570490800944e-01       7.432883693669e+02 
       3.694159518522e-01       6.947622838107e+02 
       3.823212794853e-01       6.513621786674e+02 
       3.958143349546e-01       6.081535603065e+02 
       4.099535190945e-01       5.642807128669e+02 
       4.248087356665e-01       5.228806489204e+02 
       4.404645868634e-01       4.855683275876e+02 
       4.570247550036e-01       4.506027401116e+02 
       4.746181362054e-01       4.159410492261e+02 
       4.934076285023e-01       3.825968790927e+02 
       5.136030597697e-01       3.517401613766e+02 
       5.354807888321e-01       3.218776662207e+02 
       5.594144793829e-01       2.927993940874e+02 
       5.859254187383e-01       2.650431068488e+02 
       6.157688118642e-01       2.378607465613e+02 
       6.500903266596e-01       2.112517667890e+02 
       6.907294792123e-01       1.848096153550e+02 
       7.408538885607e-01       1.581941873924e+02 
       8.063937179406e-01       1.308396080296e+02 
       8.994377823267e-01       1.021836947337e+02 
       1.045007851392e+00       7.244982404780e+01 
       1.279013009572e+00       4.524989538956e+01 
       1.606079486016e+00       2.637186548128e+01 
