# Matter power spectrum P(k) at redshift z=0
# for k=1.00203e-05 to 1.59008 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.002025920615e-05       5.612760851684e+01 
       1.261475894738e-05       7.011015758494e+01 
       1.588104060252e-05       8.757595596039e+01 
       1.999304558025e-05       1.093926945234e+02 
       2.516975314013e-05       1.366440358083e+02 
       3.168684183670e-05       1.706835057987e+02 
       3.989137040772e-05       2.132013737647e+02 
       5.022025991758e-05       2.663082480394e+02 
       6.322356139714e-05       3.326390455926e+02 
       7.959374806699e-05       4.154820146405e+02 
       1.002025920615e-04       5.189388164833e+02 
       1.261475894738e-04       6.481212322167e+02 
       1.588104060252e-04       8.093918901766e+02 
       1.999304558025e-04       1.010654773437e+03 
       2.516975314013e-04       1.261698458972e+03 
       3.168684183670e-04       1.574591885753e+03 
       3.989137040772e-04       1.964119184370e+03 
       5.022025991758e-04       2.448230804751e+03 
       6.322356139714e-04       3.048472204310e+03 
       7.959374806699e-04       3.790322182353e+03 
       1.002025920615e-03       4.703297655203e+03 
       1.261475894738e-03       5.820488714196e+03 
       1.588104060252e-03       7.176960756002e+03 
       1.999304558025e-03       8.807293294452e+03 
       2.516975314013e-03       1.074059778261e+04 
       3.168684183670e-03       1.299323176515e+04 
       3.989137040772e-03       1.555846086229e+04 
       5.022025991758e-03       1.839258586482e+04 
       6.322356139714e-03       2.139757590420e+04 
       7.959374806699e-03       2.440446624288e+04 
       1.002025920615e-02       2.714862267782e+04 
       1.261475894738e-02       2.926166363992e+04 
       1.588104060252e-02       3.027848098099e+04 
       1.999304553656e-02       2.971790995678e+04 
       2.516970696686e-02       2.729076593284e+04 
       3.167849164957e-02       2.327598960507e+04 
       3.953956233133e-02       1.892167467249e+04 
       4.666069149134e-02       1.617682747274e+04 
       5.176278162287e-02       1.486104193538e+04 
       5.588841429790e-02       1.407221917598e+04 
       5.953404478080e-02       1.349317912013e+04 
       6.291400266593e-02       1.299842508820e+04 
       6.613878991282e-02       1.252511559000e+04 
       6.927343446907e-02       1.203981547085e+04 
       7.236005605516e-02       1.152673500740e+04 
       7.542801241737e-02       1.098030195689e+04 
       7.849900796335e-02       1.040390332883e+04 
       8.158989655782e-02       9.807186787241e+03 
       8.471432562875e-02       9.204481106331e+03 
       8.788375347309e-02       8.611667406458e+03 
       9.110810663599e-02       8.046011392720e+03 
       9.439622014206e-02       7.523076138194e+03 
       9.775614113642e-02       7.054862936548e+03 
       1.011953434691e-01       6.649586127459e+03 
       1.047208823671e-01       6.309390448463e+03 
       1.083395076741e-01       6.031450450195e+03 
       1.120577477302e-01       5.806693938995e+03 
       1.158819720051e-01       5.622121712223e+03 
       1.198184380834e-01       5.459313907462e+03 
       1.238733269788e-01       5.299364761998e+03 
       1.280527696824e-01       5.123812643027e+03 
       1.323628671483e-01       4.918434747183e+03 
       1.368097054435e-01       4.677163117849e+03 
       1.413993674790e-01       4.402827255088e+03 
       1.461379425287e-01       4.108245374233e+03 
       1.510315346129e-01       3.812365190082e+03 
       1.560862707326e-01       3.535376166577e+03 
       1.613083098891e-01       3.294603554171e+03 
       1.667038537908e-01       3.099246735821e+03 
       1.722791601252e-01       2.948615650548e+03 
       1.780405592618e-01       2.832103282757e+03 
       1.839944752425e-01       2.732256170564e+03 
       1.901474519093e-01       2.629240254072e+03 
       1.965061850220e-01       2.506038714540e+03 
       2.030775612297e-01       2.357579804250e+03 
       2.098687047866e-01       2.192843025731e+03 
       2.168870329594e-01       2.029047220521e+03 
       2.241403211588e-01       1.882785932931e+03 
       2.316367789679e-01       1.763955988399e+03 
       2.393851384439e-01       1.672197206768e+03 
       2.473947563547e-01       1.596673200919e+03 
       2.556757324102e-01       1.521539132912e+03 
       2.642390460839e-01       1.436102531790e+03 
       2.730967153322e-01       1.339773848191e+03 
       2.822619814703e-01       1.241922391680e+03 
       2.917495257128e-01       1.155002685141e+03 
       3.015757245464e-01       1.084271527074e+03 
       3.117589533061e-01       1.024962706377e+03 
       3.223199502865e-01       9.678348024179e+02 
       3.332822577182e-01       9.062105835359e+02 
       3.446727614205e-01       8.421851895460e+02 
       3.565223585461e-01       7.824406312181e+02 
       3.688667935271e-01       7.311692843555e+02 
       3.817477176245e-01       6.855269707111e+02 
       3.952140497046e-01       6.402122685318e+02 
       4.093237487630e-01       5.941497978549e+02 
       4.241461583912e-01       5.505312515784e+02 
       4.397651600456e-01       5.111930877542e+02 
       4.562834931593e-01       4.744623553603e+02 
       4.738287968727e-01       4.380803607267e+02 
       4.925622571321e-01       4.029795193544e+02 
       5.126913116330e-01       3.705018250135e+02 
       5.344888857916e-01       3.391427016483e+02 
       5.583235442282e-01       3.085685811901e+02 
       5.847086979531e-01       2.793948766968e+02 
       6.143868031735e-01       2.508495008301e+02 
       6.484817023262e-01       2.228985139231e+02 
       6.887929504828e-01       1.951538848032e+02 
       7.384090097197e-01       1.672422766764e+02 
       8.030896246028e-01       1.385802769953e+02 
       8.945387370631e-01       1.085770868722e+02 
       1.037065117300e+00       7.738507573169e+01 
       1.266751339679e+00       4.857242274121e+01 
       1.590077332923e+00       2.834655663888e+01 
