# Matter power spectrum P(k) at redshift z=0
# for k=1.00412e-05 to 1.59337 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.004116838967e-05       5.568139039850e+01 
       1.264108204986e-05       6.955276145085e+01 
       1.591417942514e-05       8.687970419189e+01 
       2.003476488617e-05       1.085229859799e+02 
       2.522227463452e-05       1.355576719729e+02 
       3.175296248064e-05       1.693265114888e+02 
       3.997461136663e-05       2.115063337483e+02 
       5.032505407604e-05       2.641909912893e+02 
       6.335548942625e-05       3.299943537159e+02 
       7.975983561536e-05       4.121786030010e+02 
       1.004116838967e-04       5.148126866142e+02 
       1.264108204986e-04       6.429676629591e+02 
       1.591417942514e-04       8.029554287071e+02 
       2.003476488617e-04       1.002616630835e+03 
       2.522227463452e-04       1.251661485338e+03 
       3.175296248064e-04       1.562061476401e+03 
       3.997461136663e-04       1.948480558900e+03 
       5.032505407604e-04       2.428721845137e+03 
       6.335548942625e-04       3.024150591006e+03 
       7.975983561536e-04       3.760028992697e+03 
       1.004116838967e-03       4.665614003386e+03 
       1.264108204986e-03       5.773694633842e+03 
       1.591417942514e-03       7.118995039438e+03 
       2.003476488617e-03       8.735730126603e+03 
       2.522227463452e-03       1.065264234289e+04 
       3.175296248064e-03       1.288577220297e+04 
       3.997461136663e-03       1.542818666582e+04 
       5.032505407604e-03       1.823620862441e+04 
       6.335548942625e-03       2.121221755709e+04 
       7.975983561536e-03       2.418822391579e+04 
       1.004116838967e-02       2.690127028692e+04 
       1.264108204986e-02       2.898567647674e+04 
       1.591417942514e-02       2.998098488367e+04 
       2.003476483922e-02       2.940928873993e+04 
       2.522222587851e-02       2.698992757338e+04 
       3.174427106395e-02       2.300451509827e+04 
       3.961296043609e-02       1.869962589279e+04 
       4.671382263872e-02       1.600007216269e+04 
       5.180316870091e-02       1.470523540380e+04 
       5.592292985430e-02       1.392661838194e+04 
       5.956544272491e-02       1.335444861779e+04 
       6.294360566847e-02       1.286505264906e+04 
       6.616733699393e-02       1.239643929007e+04 
       6.930138591442e-02       1.191570790684e+04 
       7.238772287135e-02       1.140731666719e+04 
       7.545561870448e-02       1.086619602721e+04 
       7.852672397767e-02       1.029539272196e+04 
       8.161785758059e-02       9.704355024440e+03 
       8.474264338330e-02       9.107458477300e+03 
       8.791252336778e-02       8.520910535376e+03 
       9.113741254077e-02       7.961232644853e+03 
       9.442613764132e-02       7.443896575993e+03 
       9.778673980373e-02       6.980868384778e+03 
       1.012266884928e-01       6.580183699668e+03 
       1.047530357329e-01       6.243957206408e+03 
       1.083725290363e-01       5.969312561183e+03 
       1.120916950605e-01       5.747413163563e+03 
       1.159169020785e-01       5.564746117966e+03 
       1.198544068433e-01       5.403652515820e+03 
       1.239103898109e-01       5.245369850791e+03 
       1.280909816215e-01       5.071332079033e+03 
       1.324022830336e-01       4.867575470347e+03 
       1.368503800378e-01       4.628374368269e+03 
       1.414413555624e-01       4.356492648027e+03 
       1.461812989777e-01       4.064763512393e+03 
       1.510763144737e-01       3.771901057060e+03 
       1.561325292972e-01       3.497925733122e+03 
       1.613561027834e-01       3.259911434730e+03 
       1.667532370809e-01       3.066920008376e+03 
       1.723301904512e-01       2.918150778614e+03 
       1.780932940065e-01       2.803028964331e+03 
       1.840489727424e-01       2.704240150556e+03 
       1.902037717157e-01       2.602118669487e+03 
       1.965643882200e-01       2.479919834850e+03 
       2.031377108229e-01       2.332738010814e+03 
       2.099308661556e-01       2.169566533582e+03 
       2.169512744032e-01       2.007431541142e+03 
       2.242067145287e-01       1.862909541412e+03 
       2.317054004056e-01       1.745501233072e+03 
       2.394560692369e-01       1.654895943778e+03 
       2.474680839260e-01       1.580113829782e+03 
       2.557515514627e-01       1.505716990898e+03 
       2.643174599260e-01       1.421017621713e+03 
       2.731778374184e-01       1.325584240404e+03 
       2.823459372002e-01       1.228761496118e+03 
       2.918364545445e-01       1.142823008840e+03 
       3.016657824983e-01       1.072931984934e+03 
       3.118523159443e-01       1.014282964857e+03 
       3.224168163236e-01       9.577148647947e+02 
       3.333828533936e-01       8.966367478537e+02 
       3.447773458898e-01       8.332560082358e+02 
       3.566312305864e-01       7.741711440928e+02 
       3.689802999815e-01       7.234825555643e+02 
       3.818662641717e-01       6.783157077089e+02 
       3.953381147827e-01       6.334457551029e+02 
       4.094539018371e-01       5.878417009619e+02 
       4.242830843043e-01       5.446851892453e+02 
       4.399096920498e-01       5.057729523208e+02 
       4.564366586000e-01       4.694227661138e+02 
       4.739918817547e-01       4.333979918261e+02 
       4.927368996316e-01       3.986687246641e+02 
       5.128796413540e-01       3.665388121895e+02 
       5.346937378809e-01       3.354879773148e+02 
       5.585488010043e-01       3.052365001676e+02 
       5.849598580556e-01       2.763625658614e+02 
       6.146719791392e-01       2.481047908463e+02 
       6.488134768426e-01       2.204371039596e+02 
       6.891920804195e-01       1.929672082545e+02 
       7.389124203830e-01       1.653289167076e+02 
       8.037690034645e-01       1.369429258172e+02 
       8.955442885174e-01       1.072239705956e+02 
       1.038693880634e+00       7.633869370123e+01 
       1.269272917936e+00       4.786639949442e+01 
       1.593373741001e+00       2.792640866233e+01 
