# Matter power spectrum P(k) at redshift z=0
# for k=9.97744e-06 to 1.58333 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.977440613128e-06       5.705611976892e+01 
       1.256085353253e-05       7.126996794849e+01 
       1.581317770593e-05       8.902471654469e+01 
       1.990761125521e-05       1.112023312223e+02 
       2.506219769731e-05       1.389044986323e+02 
       3.155143755655e-05       1.735070872505e+02 
       3.972090651858e-05       2.167283401685e+02 
       5.000565859574e-05       2.707138019554e+02 
       6.295339433968e-05       3.381419689088e+02 
       7.925362789292e-05       4.223555951804e+02 
       9.977440613128e-05       5.275242752223e+02 
       1.256085353253e-04       6.588444949296e+02 
       1.581317770593e-04       8.227846650646e+02 
       1.990761125521e-04       1.027380133269e+03 
       2.506219769731e-04       1.282583058484e+03 
       3.155143755655e-04       1.600664841644e+03 
       3.972090651858e-04       1.996659547595e+03 
       5.000565859574e-04       2.488824954836e+03 
       6.295339433968e-04       3.099080524614e+03 
       7.925362789292e-04       3.853357956326e+03 
       9.977440613128e-04       4.781712921178e+03 
       1.256085353253e-03       5.917863981482e+03 
       1.581317770593e-03       7.297587941964e+03 
       1.990761125521e-03       8.956224888783e+03 
       2.506219769731e-03       1.092365491874e+04 
       3.155143755655e-03       1.321690196676e+04 
       3.972090651858e-03       1.582964996041e+04 
       5.000565859574e-03       1.871816046771e+04 
       6.295339433968e-03       2.178356768117e+04 
       7.925362789292e-03       2.485486057536e+04 
       9.977440613128e-03       2.766404343711e+04 
       1.256085353253e-02       2.983695187452e+04 
       1.581317770593e-02       3.090098311811e+04 
       1.990761121756e-02       3.036183533933e+04 
       2.506215642739e-02       2.792016945829e+04 
       3.154374976452e-02       2.384396134366e+04 
       3.938860804469e-02       1.938682621266e+04 
       4.655100969211e-02       1.654650140992e+04 
       5.167958265620e-02       1.518750160362e+04 
       5.581739349897e-02       1.437645109564e+04 
       5.946948001805e-02       1.378292085453e+04 
       6.285315237940e-02       1.327657523305e+04 
       6.608012498418e-02       1.279332257727e+04 
       6.921600373304e-02       1.229871484778e+04 
       7.230321746125e-02       1.177583959213e+04 
       7.537130369652e-02       1.121847086780e+04 
       7.844207814920e-02       1.063111382345e+04 
       8.153246694121e-02       1.002222465140e+04 
       8.465616614912e-02       9.406450891931e+03 
       8.782466775021e-02       8.801224523925e+03 
       9.104792210337e-02       8.223211199953e+03 
       9.433478133059e-02       7.688462452934e+03 
       9.769330497917e-02       7.209462211745e+03 
       1.011309759466e-01       6.794484210477e+03 
       1.046548560681e-01       6.446063260419e+03 
       1.082716999977e-01       6.161236057116e+03 
       1.119880395479e-01       5.931057269378e+03 
       1.158102466589e-01       5.741837524819e+03 
       1.197445806332e-01       5.575542889188e+03 
       1.237972236361e-01       5.412309412970e+03 
       1.279743073853e-01       5.233495718330e+03 
       1.322819332403e-01       5.024660150356e+03 
       1.367261874286e-01       4.778858158991e+03 
       1.413131528277e-01       4.499490490437e+03 
       1.460489185162e-01       4.199229969180e+03 
       1.509395881678e-01       3.896852551731e+03 
       1.559912882805e-01       3.613613926848e+03 
       1.612101771731e-01       3.367046048648e+03 
       1.666024556531e-01       3.166768208901e+03 
       1.721743802329e-01       3.012247941194e+03 
       1.779322797619e-01       2.892797485241e+03 
       1.838825763296e-01       2.790747962549e+03 
       1.900318112907e-01       2.685772250977e+03 
       1.963866772643e-01       2.560490185840e+03 
       2.029540569701e-01       2.409461672090e+03 
       2.097410697936e-01       2.241521130012e+03 
       2.167551270231e-01       2.074095490451e+03 
       2.240039967909e-01       1.924355806474e+03 
       2.314958798894e-01       1.802533359172e+03 
       2.392394978308e-01       1.708408757071e+03 
       2.472441948093e-01       1.631116787920e+03 
       2.555200556147e-01       1.554588007346e+03 
       2.640780420826e-01       1.467612303348e+03 
       2.729301513735e-01       1.369433962137e+03 
       2.820896003198e-01       1.269454041876e+03 
       2.915710413206e-01       1.180441587179e+03 
       3.013908169198e-01       1.107962515488e+03 
       3.115672623890e-01       1.047296861473e+03 
       3.221210685857e-01       9.890373709929e+02 
       3.330757213290e-01       9.262080071562e+02 
       3.444580389886e-01       8.608391318386e+02 
       3.562988375352e-01       7.997348968250e+02 
       3.686337629283e-01       7.472282560729e+02 
       3.815043459085e-01       7.005878539089e+02 
       3.949593563214e-01       6.543543358647e+02 
       4.090565667590e-01       6.073282598050e+02 
       4.238650845898e-01       5.627323321967e+02 
       4.394684874831e-01       5.225015646543e+02 
       4.559691176684e-01       4.849894604536e+02 
       4.734940850955e-01       4.478372497350e+02 
       4.922038554313e-01       4.119733096597e+02 
       5.123048616406e-01       3.787811037612e+02 
       5.340685872537e-01       3.467630266771e+02 
       5.578614578906e-01       3.155311637478e+02 
       5.841935849194e-01       2.857307151180e+02 
       6.138020921278e-01       2.565855341284e+02 
       6.478017103707e-01       2.280426338822e+02 
       6.879753498093e-01       1.997249328865e+02 
       7.373785866875e-01       1.712427878854e+02 
       8.017005372245e-01       1.420050924122e+02 
       8.924856079250e-01       1.114095946429e+02 
       1.033742088037e+00       7.957655148415e+01 
       1.261595433986e+00       5.005757699587e+01 
       1.583327614892e+00       2.922903226513e+01 
