# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       9.608616993713e+07       8.187800065986e-14       4.824291252589e-03       1.991733450639e+10       1.471726660236e+04       1.531673752718e-04       1.414125794482e+12       2.785300933543e-03       2.345430777252e+20       2.209304968027e+15       1.185526817231e+16       3.530299370118e-08       1.621430715412e+20       3.967002138395e+20       3.967002138395e+20       1.322287164221e+20      -1.096367375511e+23       1.412535005278e-04       6.970516473259e-02 
       9.505887268845e+07       8.365725675222e-14       4.876426697592e-03       1.949372589201e+10       1.471726655022e+04       1.548226481040e-04       1.399006782037e+12       2.815401240131e-03       2.246724021914e+20       2.139198083947e+15       1.147907026233e+16       3.530299370118e-08       1.553193286929e+20       3.800053491527e+20       3.800053491527e+20       1.266639102948e+20      -1.038998865393e+23       1.413593364704e-04       6.965353753828e-02 
       9.404255870225e+07       8.547517698550e-14       4.929125558192e-03       1.907912676857e+10       1.471726649753e+04       1.564958093880e-04       1.384049413248e+12       2.845826832439e-03       2.152171310960e+20       2.071315870190e+15       1.111481007197e+16       3.530299370118e-08       1.487827610290e+20       3.640130782510e+20       3.640130782510e+20       1.213332973750e+20      -9.846322214943e+22       1.414651732705e-04       6.960199366514e-02 
       9.303711055192e+07       8.733260154722e-14       4.982393922546e-03       1.867334551790e+10       1.471726644426e+04       1.581870524435e-04       1.369251959914e+12       2.876581225661e-03       2.061597822671e+20       2.005587732289e+15       1.076210878692e+16       3.530299370118e-08       1.425212828674e+20       3.486938328310e+20       3.486938328310e+20       1.162270217115e+20      -9.331103679952e+22       1.415710109382e-04       6.955053299717e-02 
       9.204241206627e+07       8.923038888275e-14       5.036237946115e-03       1.827619459729e+10       1.471726639041e+04       1.598965726791e-04       1.354612712313e+12       2.907667972980e-03       1.974836092646e+20       1.941945315920e+15       1.042059961363e+16       3.530299370118e-08       1.365233171483e+20       3.340192889578e+20       3.340192889578e+20       1.113356421376e+20      -8.842844482385e+22       1.416768494835e-04       6.949915541955e-02 
       9.105834831617e+07       9.116941609178e-14       5.090663848023e-03       1.788749045273e+10       1.471726633599e+04       1.616245676153e-04       1.340129979002e+12       2.939090665974e-03       1.891725704175e+20       1.880322435819e+15       1.008992739783e+16       3.530299370118e-08       1.307777740291e+20       3.199623146965e+20       3.199623146965e+20       1.066501148156e+20      -8.380133946517e+22       1.417826889165e-04       6.944786081860e-02 
       9.008480560124e+07       9.315057933389e-14       5.145677918335e-03       1.750705343417e+10       1.471726628097e+04       1.633712369070e-04       1.325802086620e+12       2.970852935030e-03       1.812112991637e+20       1.820655006945e+15       9.769748255208e+15       3.530299370118e-08       1.252740303800e+20       3.064969199469e+20       3.064969199469e+20       1.021617765146e+20      -7.941635211750e+22       1.418885292475e-04       6.939664908185e-02 
       8.912167143669e+07       9.517479424021e-14       5.201286512602e-03       1.713470771244e+10       1.471726622536e+04       1.651367823670e-04       1.311627379701e+12       3.002958449765e-03       1.735850756381e+20       1.762880977842e+15       9.459729213777e+15       3.530299370118e-08       1.200019101423e+20       2.935982083906e+20       2.935982083906e+20       9.786232859346e+19      -7.526081370156e+22       1.419943704869e-04       6.934552009796e-02 
       8.816883454040e+07       9.724299634073e-14       5.257496053673e-03       1.677028119797e+10       1.471726616916e+04       1.669214079890e-04       1.297604220473e+12       3.035410919452e-03       1.662797994571e+20       1.706940266103e+15       9.159547867601e+15       3.530299370118e-08       1.149516655137e+20       2.812423314589e+20       2.812423314589e+20       9.374382165692e+19      -7.132271806123e+22       1.421002126453e-04       6.929447375679e-02 
       8.722618481998e+07       9.935614149457e-14       5.314313037161e-03       1.641360546130e+10       1.471726611234e+04       1.687253199711e-04       1.283730988677e+12       3.068214093444e-03       1.592819636472e+20       1.652774695890e+15       8.868892041507e+15       3.530299370118e-08       1.101139589254e+20       2.694064442393e+20       2.694064442393e+20       8.979864085752e+19      -6.759068727543e+22       1.422060557333e-04       6.924350994938e-02 
       8.629361336009e+07       1.015152063325e-13       5.371744027798e-03       1.606451565522e+10       1.471726605491e+04       1.705487267400e-04       1.270006081377e+12       3.101371761611e-03       1.525786296720e+20       1.600327937434e+15       8.587459466436e+15       3.530299370118e-08       1.054798457772e+20       2.580686632367e+20       2.580686632367e+20       8.601949181643e+19      -6.405393878497e+22       1.423118997616e-04       6.919262856800e-02 
       8.537101240985e+07       1.037211887060e-13       5.429795661257e-03       1.572285043854e+10       1.471726599686e+04       1.723918389747e-04       1.256427912774e+12       3.134887754775e-03       1.461574035097e+20       1.549545448451e+15       8.314957465098e+15       3.530299370118e-08       1.010407579000e+20       2.472080259126e+20       2.472080259126e+20       8.239938713656e+19      -6.070225423964e+22       1.424177447411e-04       6.914182950606e-02 
       8.445827537040e+07       1.059751081504e-13       5.488474642334e-03       1.538845190158e+10       1.471726593818e+04       1.742548696309e-04       1.242994914023e+12       3.168765945153e-03       1.400064127369e+20       1.500374417424e+15       8.051102647601e+15       3.530299370118e-08       9.678848771323e+19       2.368044519272e+20       2.368044519272e+20       7.893163348338e+19      -5.752594997535e+22       1.425235906828e-04       6.909111265819e-02 
       8.355529678256e+07       1.082780063565e-13       5.547787752221e-03       1.506116549316e+10       1.471726587886e+04       1.761380339660e-04       1.229705533054e+12       3.203010246806e-03       1.341142845779e+20       1.452763708680e+15       7.795620616737e+15       3.530299370118e-08       9.271517305014e+19       2.268387060123e+20       2.268387060123e+20       7.560981920933e+19      -5.451584903607e+22       1.426294375979e-04       6.904047792026e-02 
       8.266197231466e+07       1.106309476514e-13       5.607741843050e-03       1.474083994916e+10       1.471726581891e+04       1.780415495634e-04       1.216558234388e+12       3.237624616090e-03       1.284701248766e+20       1.406663809213e+15       7.548245682622e+15       3.530299370118e-08       8.881328262082e+19       2.172923624069e+20       2.172923624069e+20       7.242780249913e+19      -5.166325465980e+22       1.427352854977e-04       6.898992518931e-02 
       8.177819875049e+07       1.130350194911e-13       5.668343843354e-03       1.442732722264e+10       1.471726575831e+04       1.799656363580e-04       1.203551498964e+12       3.272613052113e-03       1.230634979544e+20       1.362026777187e+15       7.308720586388e+15       3.530299370118e-08       8.507560208749e+19       2.081477707892e+20       2.081477707892e+20       6.937970001395e+19      -4.895992515189e+22       1.428411343935e-04       6.893945436366e-02 
       8.090387397735e+07       1.154913329588e-13       5.729600750783e-03       1.412048241538e+10       1.471726569705e+04       1.819105166615e-04       1.190683823963e+12       3.307979597196e-03       1.178844073151e+20       1.318806192088e+15       7.076796232650e+15       3.530299370118e-08       8.149522072559e+19       1.993880236431e+20       1.993880236431e+20       6.645987601355e+19      -4.639805007314e+22       1.429469842969e-04       6.888906534277e-02 
       8.003889697430e+07       1.180010232844e-13       5.791519646664e-03       1.382016371093e+10       1.471726563513e+04       1.838764151882e-04       1.177953722631e+12       3.343728337341e-03       1.129232771620e+20       1.276957106438e+15       6.852231430453e+15       3.530299370118e-08       7.806551864638e+19       1.909969249969e+20       1.909969249969e+20       6.366293193611e+19      -4.397022767391e+22       1.430528352194e-04       6.883875802740e-02 
       7.918316780043e+07       1.205652503664e-13       5.854107683263e-03       1.352623230906e+10       1.471726557254e+04       1.858635590808e-04       1.165359724111e+12       3.379863402704e-03       1.081709346930e+20       1.236435999062e+15       6.634792642447e+15       3.530299370118e-08       7.478015455715e+19       1.829589604788e+20       1.829589604788e+20       6.098369641671e+19      -4.166944350898e+22       1.431586871730e-04       6.878853231953e-02 
       7.833658758334e+07       1.231851993087e-13       5.917372091062e-03       1.323855236163e+10       1.471726550928e+04       1.878721779366e-04       1.152900373272e+12       3.416388968070e-03       1.036185931406e+20       1.197200729820e+15       6.424253742020e+15       3.530299370118e-08       7.163305403660e+19       1.752592686317e+20       1.752592686317e+20       5.841721572574e+19      -3.948905017140e+22       1.432645401696e-04       6.873838812239e-02 
       7.749905850774e+07       1.258620809665e-13       5.981320178762e-03       1.295699090977e+10       1.471726544533e+04       1.899025038344e-04       1.140574230539e+12       3.453309253335e-03       9.925783552596e+19       1.159210495787e+15       6.220395778132e+15       3.530299370118e-08       6.861839830364e+19       1.678836134359e+20       1.678836134359e+20       5.595874460986e+19      -3.742274808688e+22       1.433703942212e-04       6.868832534045e-02 
       7.667048380411e+07       1.285971325061e-13       6.045959336916e-03       1.268141782244e+10       1.471726538069e+04       1.919547713608e-04       1.128379871728e+12       3.490628523997e-03       9.508059909601e+19       1.122425788819e+15       6.023006747618e+15       3.530299370118e-08       6.573061345885e+19       1.608183579874e+20       1.608183579874e+20       5.360373751829e+19      -3.546456731301e+22       1.434762493399e-04       6.863834387942e-02 
       7.585076773751e+07       1.313916179795e-13       6.111297030657e-03       1.241170573632e+10       1.471726531535e+04       1.940292176377e-04       1.116315887884e+12       3.528351091642e-03       9.107916041644e+19       1.086808354466e+15       5.831881374717e+15       3.530299370118e-08       6.296436017872e+19       1.540504392849e+20       1.540504392849e+20       5.134784019838e+19      -3.360885029093e+22       1.435821055383e-04       6.858844364631e-02 
       7.503981559659e+07       1.342468289064e-13       6.177340810609e-03       1.214772999687e+10       1.471726524931e+04       1.961260823494e-04       1.104380885112e+12       3.566481314452e-03       8.724612109129e+19       1.052321152189e+15       5.646820897589e+15       3.530299370118e-08       6.031452384355e+19       1.475673440769e+20       1.475673440769e+20       4.918688164495e+19      -3.185023549954e+22       1.436879628287e-04       6.853862454939e-02 
       7.423753368256e+07       1.371640848728e-13       6.244098307434e-03       1.188936860081e+10       1.471726518255e+04       1.982456077708e-04       1.092573484422e+12       3.605023597697e-03       8.357439408392e+19       1.018928316841e+15       5.467632861616e+15       3.530299370118e-08       5.777620508092e+19       1.413570857260e+20       1.413570857260e+20       4.711686638828e+19      -3.018364196499e+22       1.437938212239e-04       6.848888649821e-02 
       7.344382929842e+07       1.401447341357e-13       6.311577231827e-03       1.163650213967e+10       1.471726511507e+04       2.003880387948e-04       1.080892321568e+12       3.643982394254e-03       8.005719061351e+19       9.865951213664e+14       5.294130919256e+15       3.530299370118e-08       5.534471070701e+19       1.354081820466e+20       1.354081820466e+20       4.513396710684e+19      -2.860425458076e+22       1.438996807365e-04       6.843922940358e-02 
       7.265861073822e+07       1.431901542521e-13       6.379785383615e-03       1.138901374461e+10       1.471726504687e+04       2.025536229606e-04       1.069336046889e+12       3.683362205111e-03       7.668800760304e+19       9.552879406882e+14       5.126134636248e+15       3.530299370118e-08       5.301554504926e+19       1.297096340749e+20       1.297096340749e+20       4.323451755077e+19      -2.710751019583e+22       1.440055413795e-04       6.838965317763e-02 
       7.188178727649e+07       1.463017527141e-13       6.448730637203e-03       1.114678903242e+10       1.471726497792e+04       2.047426104831e-04       1.057903325152e+12       3.723167579899e-03       7.346061565558e+19       9.249742167390e+14       4.963469303973e+15       3.530299370118e-08       5.078440163414e+19       1.242509057332e+20       1.242509057332e+20       4.141500576324e+19      -2.568908443087e+22       1.441114031659e-04       6.834015773376e-02 
       7.111326915773e+07       1.494809675987e-13       6.518420963403e-03       1.090971605265e+10       1.471726490823e+04       2.069552542808e-04       1.046592835402e+12       3.763403117407e-03       7.036904753649e+19       8.956224246016e+14       4.805965757762e+15       3.530299370118e-08       4.864715522477e+19       1.190219043494e+20       1.190219043494e+20       3.967206758709e+19      -2.434487918425e+22       1.442172661091e-04       6.829074298670e-02 
       7.035296758608e+07       1.527292682328e-13       6.588864413061e-03       1.067768523587e+10       1.471726483779e+04       2.091918100056e-04       1.035403270806e+12       3.804073466119e-03       6.740758714042e+19       8.672020397252e+14       4.653460200971e+15       3.530299370118e-08       4.659985419366e+19       1.140129619963e+20       1.140129619963e+20       3.800248044469e+19      -2.307101079178e+22       1.443231302224e-04       6.824140885250e-02 
       6.960079471499e+07       1.560481558687e-13       6.660069122518e-03       1.045058934302e+10       1.471726476658e+04       2.114525360723e-04       1.024333338502e+12       3.845183324747e-03       6.457075892262e+19       8.396835061806e+14       4.505794034642e+15       3.530299370118e-08       4.463871321637e+19       1.092148176165e+20       1.092148176165e+20       3.640315737966e+19      -2.186379880610e+22       1.444289955192e-04       6.819215524850e-02 
       6.885666363716e+07       1.594391643842e-13       6.732043319062e-03       1.022832341587e+10       1.471726469461e+04       2.137376936882e-04       1.013381759453e+12       3.886737442779e-03       6.185331777502e+19       8.130382059241e+14       4.362813692569e+15       3.530299370118e-08       4.276010627269e+19       1.046185998996e+20       1.046185998996e+20       3.487114134924e+19      -2.071975536311e+22       1.445348620134e-04       6.814298209337e-02 
       6.812048837442e+07       1.629038609881e-13       6.804795317294e-03       1.001078472847e+10       1.471726462186e+04       2.160475468836e-04       1.002547268294e+12       3.928740621021e-03       5.925023932833e+19       7.872384290350e+14       4.224370481589e+15       3.530299370118e-08       4.096055994243e+19       1.002158108797e+20       1.002158108797e+20       3.340359975692e+19      -1.963557510483e+22       1.446407297188e-04       6.809388930714e-02 
       6.739218386784e+07       1.664438469459e-13       6.878333524583e-03       9.797872739701e+09       1.471726454832e+04       2.183823625422e-04       9.918286131892e+11       3.971197712159e-03       5.675671066237e+19       7.622573448994e+14       4.090320426957e+15       3.530299370118e-08       3.923674698323e+19       9.599831022337e+19       9.599831022337e+19       3.199781921520e+19      -1.860812562960e+22       1.447465986492e-04       6.804487681117e-02 
       6.667166596790e+07       1.700607583157e-13       6.952666437428e-03       9.589489046820e+09       1.471726447399e+04       2.207424104316e-04       9.812245556880e+11       4.014113621313e-03       5.436812140726e+19       7.380689743072e+14       3.960524122612e+15       3.530299370118e-08       3.758548017872e+19       9.195830017908e+19       9.195830017908e+19       3.065120052866e+19      -1.763443844193e+22       1.448524688191e-04       6.799594452817e-02 
       6.595885142473e+07       1.737562667080e-13       7.027802639641e-03       9.385537339947e+09       1.471726439885e+04       2.231279632350e-04       9.707338705794e+11       4.057493306604e-03       5.208005521917e+19       7.146481624350e+14       3.834846586203e+15       3.530299370118e-08       3.600370644562e+19       8.808831115954e+19       8.808831115954e+19       2.936125388826e+19      -1.671170037596e+22       1.449583402425e-04       6.794709238219e-02 
       6.525365787855e+07       1.775320800590e-13       7.103750816896e-03       9.185923357571e+09       1.471726432290e+04       2.255392965825e-04       9.603553457520e+11       4.101341779731e-03       4.988828161478e+19       6.919705526859e+14       3.713157118713e+15       3.530299370118e-08       3.448850118872e+19       8.438118793117e+19       8.438118793117e+19       2.812559426783e+19      -1.583724546765e+22       1.450642129341e-04       6.789832029868e-02 
       6.455600385010e+07       1.813899434181e-13       7.180519740359e-03       8.990554842982e+09       1.471726424613e+04       2.279766890827e-04       9.500877820535e+11       4.145664106549e-03       4.778874814939e+19       6.700125613602e+14       3.595329168539e+15       3.530299370118e-08       3.303706289354e+19       8.083007638466e+19       8.083007638466e+19       2.694193701431e+19      -1.500854725231e+22       1.451700869085e-04       6.784962820445e-02 
       6.386580873126e+07       1.853316397568e-13       7.258118279424e-03       8.799341501629e+09       1.471726416853e+04       2.304404223553e-04       9.399299931523e+11       4.190465407651e-03       4.577757292425e+19       6.487513531291e+14       3.481240199884e+15       3.530299370118e-08       3.164670794648e+19       7.742841086229e+19       7.742841086229e+19       2.580809362358e+19      -1.422321146513e+22       1.452759621806e-04       6.780101602769e-02 
       6.318299277573e+07       1.893589907845e-13       7.336555401707e-03       8.612194959393e+09       1.471726409010e+04       2.329307810633e-04       9.298808054003e+11       4.235750858960e-03       4.385103740915e+19       6.281648172871e+14       3.370771565323e+15       3.530299370118e-08       3.031486567306e+19       7.416990201859e+19       7.416990201859e+19       2.472196769407e+19      -1.347896912368e+22       1.453818387653e-04       6.775248369797e-02 
       6.250747708979e+07       1.934738578009e-13       7.415840165777e-03       8.429028721737e+09       1.471726401081e+04       2.354480529461e-04       9.199390576975e+11       4.281525692327e-03       4.200557956710e+19       6.082315447575e+14       3.263808382417e+15       3.530299370118e-08       2.903907358484e+19       7.104852519186e+19       7.104852519186e+19       2.368155105064e+19      -1.277366997238e+22       1.454877166778e-04       6.770403114627e-02 
       6.183918362324e+07       1.976781425520e-13       7.495981735701e-03       8.249758133733e+09       1.471726393067e+04       2.379925288526e-04       9.101036013576e+11       4.327795196140e-03       4.023778726840e+19       5.889308058288e+14       3.160239414241e+15       3.530299370118e-08       2.781697282647e+19       6.805850926509e+19       6.805850926509e+19       2.268492003162e+19      -1.210527627000e+22       1.455935959334e-04       6.765565830499e-02 
       6.117803516030e+07       2.019737881091e-13       7.576989366498e-03       8.074300340935e+09       1.471726384966e+04       2.405645027751e-04       9.003732999754e+11       4.374564715927e-03       3.854439198179e+19       5.702425285956e+14       3.059956953701e+15       3.530299370118e-08       2.664630381434e+19       6.519432599562e+19       6.519432599562e+19       2.173023193204e+19      -1.147185690222e+22       1.456994765478e-04       6.760736510794e-02 
       6.052395531079e+07       2.063627797648e-13       7.658872420507e-03       7.902574251086e+09       1.471726376778e+04       2.431642718828e-04       8.907470292954e+11       4.421839654981e-03       3.692226273121e+19       5.521472780855e+14       2.962856711522e+15       3.530299370118e-08       2.552490205873e+19       6.245067979393e+19       6.245067979393e+19       2.081572159665e+19      -1.087158180227e+22       1.458053585365e-04       6.755915149034e-02 
       5.987686850119e+07       2.108471459508e-13       7.741640354652e-03       7.734500496641e+09       1.471726368501e+04       2.457921365565e-04       8.812236770821e+11       4.469625474975e-03       3.536840030675e+19       5.346262360475e+14       2.868837707797e+15       3.530299370118e-08       2.445069416184e+19       5.982249793254e+19       5.982249793254e+19       1.993969815620e+19      -1.030271666350e+22       1.459112419155e-04       6.751101738886e-02 
       5.923669996603e+07       2.154289591793e-13       7.825302733181e-03       7.570001398079e+09       1.471726360135e+04       2.484484004230e-04       8.718021429913e+11       4.517927696602e-03       3.387993171939e+19       5.176611813814e+14       2.777802166966e+15       3.530299370118e-08       2.342169398418e+19       5.730492116692e+19       5.730492116692e+19       1.910054190119e+19      -9.763617928622e+21       1.460171267009e-04       6.746296274160e-02 
       5.860337573914e+07       2.201103369979e-13       7.909869222203e-03       7.409000928008e+09       1.471726351678e+04       2.511333703908e-04       8.624813384432e+11       4.566751900209e-03       3.245410488897e+19       5.012344711894e+14       2.689655416140e+15       3.530299370118e-08       2.243599897237e+19       5.489329475122e+19       5.489329475122e+19       1.829670128711e+19      -9.252728041192e+21       1.461230129088e-04       6.741498748813e-02 
       5.797682264518e+07       2.248934429706e-13       7.995349589692e-03       7.251424676022e+09       1.471726343130e+04       2.538473566847e-04       8.532601864962e+11       4.616103726440e-03       3.108828355583e+19       4.853290224274e+14       2.604305786640e+15       3.530299370118e-08       2.149178664139e+19       5.258315983202e+19       5.258315983202e+19       1.752669006574e+19      -8.768570945487e+21       1.462289005558e-04       6.736709156949e-02 
       5.735696829114e+07       2.297804876694e-13       8.081753714578e-03       7.097199814313e+09       1.471726334490e+04       2.565906728822e-04       8.441376217229e+11       4.665988876888e-03       2.977994240648e+19       4.699282941404e+14       2.521664518669e+15       3.530299370118e-08       2.058731120500e+19       5.037024520429e+19       5.037024520429e+19       1.678908453716e+19      -8.309747821910e+21       1.463347896585e-04       6.731927492816e-02 
       5.674374105801e+07       2.347737297058e-13       8.169091575837e-03       6.946255064009e+09       1.471726325756e+04       2.593636359497e-04       8.351125900869e+11       4.716413114754e-03       2.852666240452e+19       4.550162702596e+14       2.441645669005e+15       3.530299370118e-08       1.972090034781e+19       4.825045941428e+19       4.825045941428e+19       1.608252091745e+19      -7.874933045525e+21       1.464406802336e-04       6.727153750811e-02 
       5.613707009249e+07       2.398754767714e-13       8.257373265224e-03       6.798520662234e+09       1.471726316928e+04       2.621665662790e-04       8.261840488206e+11       4.767382265515e-03       2.732612631798e+19       4.405774429474e+14       2.364166021624e+15       3.530299370118e-08       1.889095213337e+19       4.621988319482e+19       4.621988319482e+19       1.540569281712e+19      -7.462870356072e+21       1.465465722982e-04       6.722387925481e-02 
       5.553688529878e+07       2.450880867044e-13       8.346608981810e-03       6.653928329859e+09       1.471726308004e+04       2.649997877243e-04       8.173509663055e+11       4.818902217593e-03       2.617611443489e+19       4.265967964690e+14       2.289145001157e+15       3.530299370118e-08       1.809593204222e+19       4.427476221891e+19       4.427476221891e+19       1.475734882570e+19      -7.072369228386e+21       1.466524658695e-04       6.717630011524e-02 
       5.494311733052e+07       2.504139685783e-13       8.436809035629e-03       6.512411239954e+09       1.471726298984e+04       2.678636276396e-04       8.086123219522e+11       4.870978923037e-03       2.507450045921e+19       4.130597915776e+14       2.216504589100e+15       3.530299370118e-08       1.733437013469e+19       4.241150015827e+19       4.241150015827e+19       1.413629019796e+19      -6.702301432741e+21       1.467583609650e-04       6.712880003788e-02 
       5.435569758276e+07       2.558555838113e-13       8.527983847671e-03       6.373903986891e+09       1.471726289867e+04       2.707584169167e-04       7.999671060832e+11       4.923618398208e-03       2.401924757941e+19       3.999523503935e+14       2.146169242672e+15       3.530299370118e-08       1.660485833309e+19       4.062665203410e+19       4.062665203410e+19       1.354136863750e+19      -6.351597775171e+21       1.468642576022e-04       6.708137897271e-02 
       5.377455818403e+07       2.614154473126e-13       8.620143951703e-03       6.238342556124e+09       1.471726280651e+04       2.736844900233e-04       7.914143198155e+11       4.976826724479e-03       2.300840470261e+19       3.872608417642e+14       2.078065816261e+15       3.530299370118e-08       1.590604781828e+19       3.891691784755e+19       3.891691784755e+19       1.297148417363e+19      -6.019245008370e+21       1.469701557988e-04       6.703403687127e-02 
       5.319963198851e+07       2.670961286399e-13       8.713299992451e-03       6.105664294599e+09       1.471726271335e+04       2.766421850416e-04       7.829529749458e+11       5.030610048934e-03       2.204010284705e+19       3.749720670884e+14       2.012123485347e+15       3.530299370118e-08       1.523664653574e+19       3.727913647835e+19       3.727913647835e+19       1.242558312760e+19      -5.704282904218e+21       1.470760555731e-04       6.698677368663e-02 
       5.263085256826e+07       2.729002531890e-13       8.807462734694e-03       5.975807881798e+09       1.471726261919e+04       2.796318437075e-04       7.745820938361e+11       5.084974585075e-03       2.111255168653e+19       3.630732465902e+14       1.948273672857e+15       3.530299370118e-08       1.459541680671e+19       3.571027984016e+19       3.571027984016e+19       1.190265616441e+19      -5.405801479498e+21       1.471819569431e-04       6.693958937343e-02 
       5.206815420553e+07       2.788305034000e-13       8.902643057809e-03       5.848713301396e+09       1.471726252401e+04       2.826538114499e-04       7.663007093007e+11       5.139926613546e-03       2.022403624021e+19       3.515520060283e+14       1.886449977842e+15       3.530299370118e-08       1.398117303973e+19       3.420744728192e+19       3.420744728192e+19       1.140173642665e+19      -5.122938366784e+21       1.472878599273e-04       6.689248388783e-02 
       5.151147188523e+07       2.848896200038e-13       8.998851955766e-03       5.724321813524e+09       1.471726242780e+04       2.857084374308e-04       7.581078644944e+11       5.195472482852e-03       1.937291370166e+19       3.403963638280e+14       1.826588106424e+15       3.530299370118e-08       1.339277953865e+19       3.276786022478e+19       3.276786022478e+19       1.092189774677e+19      -4.854876322890e+21       1.473937645443e-04       6.684545718759e-02 
       5.096074128732e+07       2.910804032895e-13       9.096100546230e-03       5.602575927622e+09       1.471726233055e+04       2.887960745857e-04       7.500026128021e+11       5.251618610099e-03       1.855761040153e+19       3.295947186204e+14       1.768625804935e+15       3.530299370118e-08       1.282914840272e+19       3.138885702477e+19       3.138885702477e+19       1.046225293475e+19      -4.600840867698e+21       1.474996708131e-04       6.679850923207e-02 
       5.041589877948e+07       2.974057143955e-13       9.194400061460e-03       5.483419375869e+09       1.471726223225e+04       2.919170796639e-04       7.419840177295e+11       5.308371481728e-03       1.777661889782e+19       3.191358371776e+14       1.712502795174e+15       3.530299370118e-08       1.228923751520e+19       3.006788805165e+19       3.006788805165e+19       1.002195213767e+19      -4.360098046538e+21       1.476055787526e-04       6.675163998218e-02 
       4.987688140967e+07       3.038684766353e-13       9.293761859226e-03       5.366797087170e+09       1.471726213289e+04       2.950718132703e-04       7.340511527944e+11       5.365737654270e-03       1.702849518882e+19       3.090088427307e+14       1.658160711720e+15       3.530299370118e-08       1.177204861648e+19       2.880251097485e+19       2.880251097485e+19       9.600181268433e+18      -4.131952309653e+21       1.477114883822e-04       6.670484940051e-02 
       4.934362689893e+07       3.104716768363e-13       9.394197419169e-03       5.252655161713e+09       1.471726203245e+04       2.982606399067e-04       7.262031014204e+11       5.423723755098e-03       1.631185604318e+19       2.992032036585e+14       1.605543041238e+15       3.530299370118e-08       1.127662545845e+19       2.759038624787e+19       2.759038624787e+19       9.196160500541e+18      -3.915744502617e+21       1.478173997213e-04       6.665813745117e-02 
       4.881607363412e+07       3.172183667362e-13       9.495718344624e-03       5.140940846051e+09       1.471726193093e+04       3.014839280143e-04       7.184389568303e+11       5.482336483195e-03       1.562537644242e+19       2.897087225349e+14       1.554595063704e+15       3.530299370118e-08       1.080205203639e+19       2.642927278259e+19       2.642927278259e+19       8.809142826269e+18      -3.710849961919e+21       1.479233127898e-04       6.661150409997e-02 
       4.829416066086e+07       3.241116643866e-13       9.598336362615e-03       5.031602508724e+09       1.471726182832e+04       3.047420500156e-04       7.107578219418e+11       5.541582609931e-03       1.496778713110e+19       2.805155255243e+14       1.505263795500e+15       3.530299370118e-08       1.034745089537e+19       2.531702380580e+19       2.531702380580e+19       8.438412675491e+18      -3.516676710184e+21       1.480292276076e-04       6.656494931434e-02 
       4.777782767644e+07       3.311547555951e-13       9.702063331133e-03       4.924589616393e+09       1.471726172459e+04       3.080353823582e-04       7.031588092636e+11       5.601468979840e-03       1.433787226999e+19       2.716140521130e+14       1.457497934314e+15       3.530299370118e-08       9.911981507913e+18       2.425158288989e+19       2.425158288989e+19       8.083284592634e+18      -3.332663745841e+21       1.481351441949e-04       6.651847306337e-02 
       4.726701502287e+07       3.383508953922e-13       9.806911231863e-03       4.819852710488e+09       1.471726161974e+04       3.113643055576e-04       6.956410407930e+11       5.662002511410e-03       1.373446718810e+19       2.629950451667e+14       1.411247805786e+15       3.530299370118e-08       9.494838719856e+18       2.323098015080e+19       2.323098015080e+19       7.743101969317e+18      -3.158279422280e+21       1.482410625721e-04       6.647207531779e-02 
       4.676166368001e+07       3.457034095391e-13       9.912892179273e-03       4.717343384347e+09       1.471726151376e+04       3.147292042418e-04       6.882036479144e+11       5.723190197884e-03       1.315645622926e+19       2.546495413037e+14       1.366465311853e+15       3.530299370118e-08       9.095251261729e+18       2.225332860585e+19       2.225332860585e+19       7.417235830331e+18      -2.993019911827e+21       1.483469827599e-04       6.642575605004e-02 
       4.626171525870e+07       3.532156960685e-13       1.002001841516e-02       4.617014260844e+09       1.471726140663e+04       3.181304671952e-04       6.808457712987e+11       5.785039108071e-03       1.260277068939e+19       2.465688615735e+14       1.323103880723e+15       3.530299370118e-08       8.712480322703e+18       2.131682068484e+19       2.131682068484e+19       7.105083670698e+18      -2.836407750085e+21       1.484529047791e-04       6.637951523422e-02 
       4.576711199406e+07       3.608912268517e-13       1.012830231775e-02       4.518818970491e+09       1.471726129835e+04       3.215684874040e-04       6.735665608046e+11       5.847556387156e-03       1.207238684047e+19       2.387446024304e+14       1.281118418447e+15       3.530299370118e-08       8.345818184583e+18       2.041972488807e+19       2.041972488807e+19       6.806068341684e+18      -2.687990456453e+21       1.485588286511e-04       6.633335284614e-02 
       4.527779673880e+07       3.687335492060e-13       1.023775639624e-02       4.422712130011e+09       1.471726118890e+04       3.250436621012e-04       6.663651753799e+11       5.910749257530e-03       1.156432403778e+19       2.311686269949e+14       1.240465262022e+15       3.530299370118e-08       7.994586913283e+18       1.956038258495e+19       1.956038258495e+19       6.519636983687e+18      -2.547339226820e+21       1.486647543970e-04       6.628726886335e-02 
