# Matter power spectrum P(k) at redshift z=0
# for k=1.0082e-05 to 1.59982 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008204559067e-05       5.482232936464e+01 
       1.269254339696e-05       6.847970504515e+01 
       1.597896542273e-05       8.553932817336e+01 
       2.011632562486e-05       1.068486885367e+02 
       2.532495352106e-05       1.334662734334e+02 
       3.188222754016e-05       1.667141190413e+02 
       4.013734643492e-05       2.082431691142e+02 
       5.052992538890e-05       2.601149409428e+02 
       6.361340712815e-05       3.249030056061e+02 
       8.008453476444e-05       4.058191279502e+02 
       1.008204559067e-04       5.068693829541e+02 
       1.269254339696e-04       6.330464192032e+02 
       1.597896542273e-04       7.905643950968e+02 
       2.011632562486e-04       9.871422804520e+02 
       2.532495352106e-04       1.232339091129e+03 
       3.188222754016e-04       1.537938923203e+03 
       4.013734643492e-04       1.918374563273e+03 
       5.052992538890e-04       2.391165131469e+03 
       6.361340712815e-04       2.977329695676e+03 
       8.008453476444e-04       3.701712183265e+03 
       1.008204559067e-03       4.593072033484e+03 
       1.269254339696e-03       5.683617368381e+03 
       1.597896542273e-03       7.007416317597e+03 
       2.011632562486e-03       8.597983896885e+03 
       2.532495352106e-03       1.048335580305e+04 
       3.188222754016e-03       1.267896343140e+04 
       4.013734643492e-03       1.517749797479e+04 
       5.052992538890e-03       1.793533127580e+04 
       6.361340712815e-03       2.085572462849e+04 
       8.008453476444e-03       2.377233868860e+04 
       1.008204559067e-02       2.642567043897e+04 
       1.269254339696e-02       2.845523621399e+04 
       1.597896542272e-02       2.940750289595e+04 
       2.011632557086e-02       2.881641091772e+04 
       2.532489933125e-02       2.641203674293e+04 
       3.187283364139e-02       2.248416946810e+04 
       3.975584123381e-02       1.827463976389e+04 
       4.681689787674e-02       1.566151116163e+04 
       5.188167751551e-02       1.440545501746e+04 
       5.599009916362e-02       1.364745394777e+04 
       5.962658192439e-02       1.308829085047e+04 
       6.300127079022e-02       1.260878549857e+04 
       6.622295858089e-02       1.214949665564e+04 
       6.935585605119e-02       1.167769605232e+04 
       7.244164489519e-02       1.117846103072e+04 
       7.550942769190e-02       1.064727388416e+04 
       7.858075068293e-02       1.008715577628e+04 
       8.167236495689e-02       9.507410080466e+03 
       8.479784869627e-02       8.921748880412e+03 
       8.796861223206e-02       8.346947604701e+03 
       9.119454818125e-02       7.798486294878e+03 
       9.448446720239e-02       7.292034106922e+03 
       9.784639876276e-02       6.839067857255e+03 
       1.012878038153e-01       6.447074285134e+03 
       1.048157281674e-01       6.118481132032e+03 
       1.084369148066e-01       5.850059151486e+03 
       1.121578871252e-01       5.633247540391e+03 
       1.159850110742e-01       5.454517731289e+03 
       1.199245417934e-01       5.297014959343e+03 
       1.239826586585e-01       5.141527050807e+03 
       1.281654916296e-01       4.970088804705e+03 
       1.324791410879e-01       4.769987993113e+03 
       1.369296928775e-01       4.534703993190e+03 
       1.415232299622e-01       4.267676990609e+03 
       1.462658419023e-01       3.981402293967e+03 
       1.511636332203e-01       3.694328192773e+03 
       1.562227316447e-01       3.426118309693e+03 
       1.614492971630e-01       3.193425807827e+03 
       1.668495327851e-01       3.004918208660e+03 
       1.724296978954e-01       2.859709359791e+03 
       1.781961250584e-01       2.747202093775e+03 
       1.841552411346e-01       2.650381970448e+03 
       1.903135935560e-01       2.550094708916e+03 
       1.966778826150e-01       2.429745740765e+03 
       2.032550006291e-01       2.285080533401e+03 
       2.100520788758e-01       2.124918273731e+03 
       2.170765432436e-01       1.966092235363e+03 
       2.243361796371e-01       1.824780187287e+03 
       2.318392103131e-01       1.710102419660e+03 
       2.395943825282e-01       1.621639999479e+03 
       2.476110711721e-01       1.548458706692e+03 
       2.558993974563e-01       1.475357507841e+03 
       2.644703662702e-01       1.392040821751e+03 
       2.733360255357e-01       1.298359702540e+03 
       2.825096518456e-01       1.203472056814e+03 
       2.920059679350e-01       1.119481303587e+03 
       3.018413992006e-01       1.051159540931e+03 
       3.120343787105e-01       9.937848001894e+02 
       3.226057131244e-01       9.382592527515e+02 
       3.335790259793e-01       8.783035829391e+02 
       3.449813003247e-01       8.161256612536e+02 
       3.568435503577e-01       7.583264762982e+02 
       3.692016625098e-01       7.087281096056e+02 
       3.820974618733e-01       6.644825248854e+02 
       3.955800823049e-01       6.204572433239e+02 
       4.097077517964e-01       5.757535431224e+02 
       4.245501549369e-01       5.334964111476e+02 
       4.401916118645e-01       4.953982397074e+02 
       4.567354358206e-01       4.597574189463e+02 
       4.743100307692e-01       4.244422757135e+02 
       4.930776241929e-01       3.904149509967e+02 
       5.132471075090e-01       3.589372606585e+02 
       5.350934938053e-01       3.284985367380e+02 
       5.589884472216e-01       2.988481829019e+02 
       5.854501647080e-01       2.705488731394e+02 
       6.152288457180e-01       2.428428867621e+02 
       6.494615819285e-01       2.157188465892e+02 
       6.899721717488e-01       1.887758703576e+02 
       7.398970655225e-01       1.616638365316e+02 
       8.050992538355e-01       1.338072943722e+02 
       8.975158661958e-01       1.046328714449e+02 
       1.041889703242e+00       7.433686585234e+01 
       1.274209844221e+00       4.651794401206e+01 
       1.599819157874e+00       2.712443092458e+01 
