# Matter power spectrum P(k) at redshift z=0
# for k=1.0102e-05 to 1.60297 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.010203528432e-05       5.440856107280e+01 
       1.271770893028e-05       6.796283911008e+01 
       1.601064695213e-05       8.489370166590e+01 
       2.015621030730e-05       1.060422285350e+02 
       2.537516536133e-05       1.324589198561e+02 
       3.194544050185e-05       1.654558223124e+02 
       4.021692683874e-05       2.066714127137e+02 
       5.063011118156e-05       2.581516536051e+02 
       6.373953356843e-05       3.224506724780e+02 
       8.024331854520e-05       4.027559851052e+02 
       1.010203528432e-04       5.030433656413e+02 
       1.271770893028e-04       6.282676985145e+02 
       1.601064695213e-04       7.845960702385e+02 
       2.015621030730e-04       9.796888306988e+02 
       2.537516536133e-04       1.223032181347e+03 
       3.194544050185e-04       1.526320080773e+03 
       4.021692683874e-04       1.903873683164e+03 
       5.063011118156e-04       2.373075639507e+03 
       6.373953356843e-04       2.954778222398e+03 
       8.024331854520e-04       3.673624207810e+03 
       1.010203528432e-03       4.558132925899e+03 
       1.271770893028e-03       5.640233707133e+03 
       1.601064695213e-03       6.953678916105e+03 
       2.015621030730e-03       8.531646787241e+03 
       2.537516536133e-03       1.040183459358e+04 
       3.194544050185e-03       1.257938162461e+04 
       4.021692683874e-03       1.505680034415e+04 
       5.063011118156e-03       1.779049026202e+04 
       6.373953356843e-03       2.068412028770e+04 
       8.024331854520e-03       2.357220812747e+04 
       1.010203528432e-02       2.619686796478e+04 
       1.271770893028e-02       2.820012323171e+04 
       1.601064695212e-02       2.913207395290e+04 
       2.015621024950e-02       2.853178877635e+04 
       2.537510831801e-02       2.613496972188e+04 
       3.193568536987e-02       2.223490046792e+04 
       3.982541318753e-02       1.807115878395e+04 
       4.686692685377e-02       1.549923500541e+04 
       5.191985783786e-02       1.426118532076e+04 
       5.602280015221e-02       1.351333693252e+04 
       5.965636479020e-02       1.296080447806e+04 
       6.302937138764e-02       1.248620905507e+04 
       6.625006972619e-02       1.203096418843e+04 
       6.938241030520e-02       1.156376790568e+04 
       7.246793508126e-02       1.106863876607e+04 
       7.553566512890e-02       1.054230493822e+04 
       7.860709612121e-02       9.987222934648e+03 
       8.169894626367e-02       9.412550323717e+03 
       8.482477157146e-02       8.832626593853e+03 
       8.799596701383e-02       8.263299730544e+03 
       9.122241433845e-02       7.720454311619e+03 
       9.451291639613e-02       7.219158485515e+03 
       9.787549698877e-02       6.770947407830e+03 
       1.013176129358e-01       6.383187240036e+03 
       1.048463070257e-01       6.058206707322e+03 
       1.084683200489e-01       5.792790110807e+03 
       1.121901738124e-01       5.578371214906e+03 
       1.160182331401e-01       5.401653126949e+03 
       1.199587523892e-01       5.245621247620e+03 
       1.240179104113e-01       5.091667122366e+03 
       1.282018368373e-01       4.922014978044e+03 
       1.325166318660e-01       4.723136751054e+03 
       1.369683812710e-01       4.489894992808e+03 
       1.415631680351e-01       4.225028432475e+03 
       1.463070818115e-01       3.941491902074e+03 
       1.512062272861e-01       3.657095858204e+03 
       1.562667324229e-01       3.391619288704e+03 
       1.614947575290e-01       3.161466903692e+03 
       1.668965060356e-01       2.975134458990e+03 
       1.724782378764e-01       2.831660647029e+03 
       1.782462863263e-01       2.720414077877e+03 
       1.842070791581e-01       2.624585116028e+03 
       1.903671649656e-01       2.525113243431e+03 
       1.967332455075e-01       2.405696529016e+03 
       2.033122149353e-01       2.262209151920e+03 
       2.101112067978e-01       2.103469944990e+03 
       2.171376497721e-01       1.946261018820e+03 
       2.243993331561e-01       1.806442607762e+03 
       2.319044833037e-01       1.693141607849e+03 
       2.396618523852e-01       1.605645634654e+03 
       2.476808211483e-01       1.533263456986e+03 
       2.559715177541e-01       1.460784099834e+03 
       2.645449553065e-01       1.378144851949e+03 
       2.734131914119e-01       1.285294192210e+03 
       2.825895140645e-01       1.191344779879e+03 
       2.920886594181e-01       1.108263521152e+03 
       3.019270686771e-01       1.040735713963e+03 
       3.121231935696e-01       9.839429539042e+02 
       3.226978628531e-01       9.289263674226e+02 
       3.336747263481e-01       8.694727044456e+02 
       3.450807985378e-01       8.079103804915e+02 
       3.569471314642e-01       7.507044663280e+02 
       3.693096574793e-01       7.016600111084e+02 
       3.822102578991e-01       6.578437562242e+02 
       3.956981361300e-01       6.142210517294e+02 
       4.098316072032e-01       5.699296325502e+02 
       4.246804660714e-01       5.281125657820e+02 
       4.403291748915e-01       4.904192437096e+02 
       4.568812327262e-01       4.551189069833e+02 
       4.744652913068e-01       4.201293039632e+02 
       4.932439156614e-01       3.864533653779e+02 
       5.134264685539e-01       3.552840836708e+02 
       5.352886403329e-01       3.251449923836e+02 
       5.592031012879e-01       2.957832110380e+02 
       5.856896031212e-01       2.677549818972e+02 
       6.155008629980e-01       2.403155758144e+02 
       6.497782852124e-01       2.134535729792e+02 
       6.903535694817e-01       1.867649633097e+02 
       7.403788291951e-01       1.599065651165e+02 
       8.057507998115e-01       1.323032448194e+02 
       8.984828150674e-01       1.033930020266e+02 
       1.043458159764e+00       7.338130567548e+01 
       1.276627587817e+00       4.587421927631e+01 
       1.602971647647e+00       2.674232347753e+01 
