# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.65329 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833537106786e+01 
       1.311872312515e-05       6.037670166419e+01 
       1.651549391254e-05       7.541771734861e+01 
       2.079177497483e-05       9.420556752668e+01 
       2.617529387212e-05       1.176735469646e+02 
       3.295274261680e-05       1.469871723652e+02 
       4.148504506860e-05       1.836020375151e+02 
       5.222657744628e-05       2.293356203934e+02 
       6.574936551816e-05       2.864567942698e+02 
       8.277354706016e-05       3.577969318432e+02 
       1.042057218184e-04       4.468873905633e+02 
       1.311872312515e-04       5.581286927761e+02 
       1.651549391254e-04       6.969970110538e+02 
       2.079177497483e-04       8.702927166576e+02 
       2.617529387212e-04       1.086433566617e+03 
       3.295274261680e-04       1.355789764130e+03 
       4.148504506860e-04       1.691049348108e+03 
       5.222657744628e-04       2.107590340810e+03 
       6.574936551816e-04       2.623823094988e+03 
       8.277354706016e-04       3.261443639879e+03 
       1.042057218184e-03       4.045466922622e+03 
       1.311872312515e-03       5.003745511511e+03 
       1.651549391254e-03       6.165439799894e+03 
       2.079177497483e-03       7.558843702671e+03 
       2.617529387212e-03       9.206771480819e+03 
       3.295274261680e-03       1.112022141645e+04 
       4.148504506860e-03       1.328927322856e+04 
       5.222657744628e-03       1.567100617005e+04 
       6.574936551816e-03       1.817553436931e+04 
       8.277354706016e-03       2.064995183976e+04 
       1.042057218184e-02       2.286089483258e+04 
       1.311872312515e-02       2.448772987142e+04 
       1.651549391252e-02       2.513487070715e+04 
       2.079177481046e-02       2.441566814130e+04 
       2.617516848896e-02       2.214412283150e+04 
       3.293535888769e-02       1.866625963059e+04 
       4.090566601244e-02       1.517898599779e+04 
       4.763320210190e-02       1.317834410563e+04 
       5.251082022010e-02       1.219447719460e+04 
       5.653184559086e-02       1.158133176765e+04 
       6.012144554130e-02       1.111834048858e+04 
       6.346902540724e-02       1.071338907898e+04 
       6.667478067890e-02       1.032091639275e+04 
       6.979876594513e-02       9.915046692757e+03 
       7.288041732251e-02       9.484955030035e+03 
       7.594752152334e-02       9.027481803378e+03 
       7.902080550480e-02       8.545582888654e+03 
       8.211648616578e-02       8.048885528005e+03 
       8.524778083317e-02       7.549584414159e+03 
       8.842584937492e-02       7.060553754764e+03 
       9.166040698338e-02       6.596661752549e+03 
       9.496013676419e-02       6.170015147244e+03 
       9.833297558435e-02       5.790351613745e+03 
       1.017863168215e-01       5.463250022503e+03 
       1.053271569337e-01       5.190207511124e+03 
       1.089622030077e-01       4.967853024849e+03 
       1.126979525532e-01       4.787999026033e+03 
       1.165407531435e-01       4.638884923088e+03 
       1.204968471800e-01       4.505495570950e+03 
       1.245724055390e-01       4.371809415432e+03 
       1.287735528695e-01       4.222676253720e+03 
       1.331063866482e-01       4.047379900064e+03 
       1.375769916570e-01       3.842256566550e+03 
       1.421914512591e-01       3.610867696530e+03 
       1.469558566529e-01       3.365247223503e+03 
       1.518763151625e-01       3.121257138407e+03 
       1.569589585399e-01       2.895802828627e+03 
       1.622099522086e-01       2.702184717983e+03 
       1.676355063431e-01       2.546713172460e+03 
       1.732418896612e-01       2.427429353081e+03 
       1.790354467941e-01       2.334182390000e+03 
       1.850226200864e-01       2.252118180151e+03 
       1.912099766787e-01       2.164656454353e+03 
       1.976042417253e-01       2.058969497206e+03 
       2.042123386135e-01       1.932700242309e+03 
       2.110414370835e-01       1.795112755518e+03 
       2.180990102073e-01       1.660896892110e+03 
       2.253929012786e-01       1.543133655601e+03 
       2.329314018174e-01       1.448609456745e+03 
       2.407233421056e-01       1.375646510958e+03 
       2.487781959757e-01       1.313973914572e+03 
       2.571062019918e-01       1.250594186901e+03 
       2.657185037247e-01       1.177965730751e+03 
       2.746273125732e-01       1.097181288034e+03 
       2.838460975766e-01       1.016947220338e+03 
       2.933898079766e-01       9.470344761519e+02 
       3.032751360258e-01       8.904518887006e+02 
       3.135208298573e-01       8.421016795978e+02 
       3.241480693388e-01       7.943561091785e+02 
       3.351809220529e-01       7.425666441070e+02 
       3.466469023319e-01       6.896754414229e+02 
       3.585776643225e-01       6.412246991363e+02 
       3.710098714070e-01       5.998098675534e+02 
       3.839863005776e-01       5.622172854323e+02 
       3.975572640793e-01       5.244990594207e+02 
       4.117824658605e-01       4.864138947623e+02 
       4.267334637492e-01       4.508137199160e+02 
       4.424969909750e-01       4.187277927152e+02 
       4.591795219506e-01       3.883660483140e+02 
       4.769136813939e-01       3.582722123577e+02 
       4.958674559352e-01       3.295226983828e+02 
       5.162577935758e-01       3.028350036440e+02 
       5.383713079654e-01       2.768992171001e+02 
       5.625969398535e-01       2.517382169451e+02 
       5.894796612109e-01       2.276833433483e+02 
       6.198131824178e-01       2.040756518554e+02 
       6.548094406133e-01       1.809710627019e+02 
       6.964300532317e-01       1.579495570266e+02 
       7.480862417805e-01       1.347316692238e+02 
       8.162360739915e-01       1.108045306610e+02 
       9.141587186198e-01       8.570955999024e+01 
       1.068968309168e+00       5.983942195292e+01 
       1.315459880947e+00       3.686468322946e+01 
       1.653289462404e+00       2.141519038496e+01 
