# Matter power spectrum P(k) at redshift z=0
# for k=1.04624e-05 to 1.65991 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046235829849e-05       4.760617928396e+01 
       1.317132872926e-05       5.946583174750e+01 
       1.658172044436e-05       7.427994336253e+01 
       2.087514923868e-05       9.278436899547e+01 
       2.628025585157e-05       1.158982923592e+02 
       3.308488191999e-05       1.447696763974e+02 
       4.165139859528e-05       1.808321402229e+02 
       5.243600412837e-05       2.258757344732e+02 
       6.601301809015e-05       2.821350804955e+02 
       8.310546598292e-05       3.523988064970e+02 
       1.046235829849e-04       4.401448698970e+02 
       1.317132872926e-04       5.497072757207e+02 
       1.658172044436e-04       6.864792569349e+02 
       2.087514923868e-04       8.571579347169e+02 
       2.628025585157e-04       1.070032851818e+03 
       3.308488191999e-04       1.335315321536e+03 
       4.165139859528e-04       1.665497473024e+03 
       5.243600412837e-04       2.075716998630e+03 
       6.601301809015e-04       2.584091700460e+03 
       8.310546598292e-04       3.211964846845e+03 
       1.046235829849e-03       3.983932119332e+03 
       1.317132872926e-03       4.927360349996e+03 
       1.658172044436e-03       6.070862813906e+03 
       2.087514923868e-03       7.442154933276e+03 
       2.628025585157e-03       9.063477251390e+03 
       3.308488191999e-03       1.094534939549e+04 
       4.165139859528e-03       1.307758394170e+04 
       5.243600412837e-03       1.541737772049e+04 
       6.601301809015e-03       1.787563499384e+04 
       8.310546598292e-03       2.030108960163e+04 
       1.046235829849e-02       2.246330537338e+04 
       1.317132872926e-02       2.404618154266e+04 
       1.658172044433e-02       2.466173724983e+04 
       2.087514905112e-02       2.392862356790e+04 
       2.628011738499e-02       2.167459851860e+04 
       3.306618877942e-02       1.825002386730e+04 
       4.104316964844e-02       1.484367814711e+04 
       4.772970573335e-02       1.290703881786e+04 
       5.258606842058e-02       1.195178995028e+04 
       5.659704556666e-02       1.135368549597e+04 
       6.018120868800e-02       1.090087952587e+04 
       6.352563394405e-02       1.050457591792e+04 
       6.672953736751e-02       1.011910765310e+04 
       6.985249505264e-02       9.720952524249e+03 
       7.293368262018e-02       9.298433355907e+03 
       7.600073328073e-02       8.848929577799e+03 
       7.907427801402e-02       8.376013028620e+03 
       8.217047093739e-02       7.888535587410e+03 
       8.530248686230e-02       7.398393786997e+03 
       8.848145609198e-02       6.919401842097e+03 
       9.171707284631e-02       6.464613356148e+03 
       9.501800513895e-02       6.046803210661e+03 
       9.839217887404e-02       5.675146946411e+03 
       1.018469794273e-01       5.355210525553e+03 
       1.053893974136e-01       5.088099130226e+03 
       1.090261356717e-01       4.870606474266e+03 
       1.127636886509e-01       4.694885916928e+03 
       1.166084017557e-01       4.549113913568e+03 
       1.205665158873e-01       4.418277027220e+03 
       1.246442009253e-01       4.286959223963e+03 
       1.288475809004e-01       4.140261459883e+03 
       1.331827529567e-01       3.967777763866e+03 
       1.376558017629e-01       3.766036432264e+03 
       1.422728107436e-01       3.538646124525e+03 
       1.470398713078e-01       3.297542164523e+03 
       1.519630911309e-01       3.058445257254e+03 
       1.570486024665e-01       2.837618683427e+03 
       1.623025714135e-01       2.648229346484e+03 
       1.677312090352e-01       2.496350033454e+03 
       1.733407852071e-01       2.379927587352e+03 
       1.791376460554e-01       2.288728414239e+03 
       1.851282358426e-01       2.208236592240e+03 
       1.913191241484e-01       2.122199772756e+03 
       1.977170392019e-01       2.018038400006e+03 
       2.043289082298e-01       1.893961280244e+03 
       2.111619057220e-01       1.758956684230e+03 
       2.182235105727e-01       1.627392359834e+03 
       2.255215731526e-01       1.512211320296e+03 
       2.330643935184e-01       1.419877330524e+03 
       2.408608121791e-01       1.348591557602e+03 
       2.489203151502e-01       1.288155651050e+03 
       2.572531554409e-01       1.225855134234e+03 
       2.658704936880e-01       1.154423461173e+03 
       2.747845614049e-01       1.075067841519e+03 
       2.840088513084e-01       9.964668154726e+02 
       2.935583405093e-01       9.280928808970e+02 
       3.034497540981e-01       8.727829013920e+02 
       3.137018789863e-01       8.254201148218e+02 
       3.243359409910e-01       7.785278136645e+02 
       3.353760623871e-01       7.276738138086e+02 
       3.468498229771e-01       6.757721769678e+02 
       3.587889558146e-01       6.283650427201e+02 
       3.712302201465e-01       5.878345418451e+02 
       3.842165105073e-01       5.509760369678e+02 
       3.977982847800e-01       5.139527567351e+02 
       4.120354295087e-01       4.766031994685e+02 
       4.269997345264e-01       4.417428158527e+02 
       4.427782323071e-01       4.103044874029e+02 
       4.594777898361e-01       3.805234950901e+02 
       4.772315568396e-01       3.510037226146e+02 
       4.962082376424e-01       3.228359822425e+02 
       5.166257863906e-01       2.966774688639e+02 
       5.387722690723e-01       2.712399163369e+02 
       5.630387957091e-01       2.465745621960e+02 
       5.899737118173e-01       2.229750620248e+02 
       6.203762326698e-01       1.998209073541e+02 
       6.554678116882e-01       1.771589589260e+02 
       6.972276928231e-01       1.545721052613e+02 
       7.491024736238e-01       1.317852004267e+02 
       8.176272891440e-01       1.082976570720e+02 
       9.162546950808e-01       8.365445549911e+01 
       1.072388610311e+00       5.827795227422e+01 
       1.320595432675e+00       3.583866706143e+01 
       1.659905298684e+00       2.081122297873e+01 
