# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       2.102393998627e+02       5.251331818792e-03       8.541109832974e+02       3.983803394804e-01       1.324822024627e+04       6.271661562604e+01       2.798546094071e+06       3.491390692812e+02       5.478715789318e-03       2.347457742944e-02       1.259660457407e-01       3.530299370118e-08       3.787516625079e-03       1.587068948845e-01       1.587068948845e-01       3.088705038684e-03      -2.330048161691e-05       6.333050228465e-03       9.603199720783e-01 
       2.079809515119e+02       5.340061557239e-03       8.598268203104e+02       3.918862028064e-01       1.324250440925e+04       6.336704045727e+01       2.767431171846e+06       3.507434431738e+02       5.248145667945e-03       2.272966918794e-02       1.219688216841e-01       3.530299370118e-08       3.628120116567e-03       1.535747959500e-01       1.535747959500e-01       2.958716168179e-03      -2.219332156497e-05       6.398775485679e-03       9.607272840741e-01 
       2.057466491724e+02       5.430261536763e-03       8.655752450874e+02       3.854991421562e-01       1.323675598448e+04       6.402404119951e+01       2.736654945703e+06       3.523503471410e+02       5.027279021422e-03       2.200839878571e-02       1.180984397464e-01       3.530299370118e-08       3.475431762616e-03       1.486095886032e-01       1.486095886032e-01       2.834197840802e-03      -2.113883651880e-05       6.465211014928e-03       9.611305879795e-01 
       2.035362346893e+02       5.521955832012e-03       8.713564253192e+02       3.792173612223e-01       1.323097480424e+04       6.468768149734e+01       2.706213767729e+06       3.539597634466e+02       4.815707481901e-03       2.131001613380e-02       1.143508749035e-01       3.530299370118e-08       3.329169252542e-03       1.438058070524e-01       1.438058070524e-01       2.714919830373e-03      -2.013451662104e-05       6.532364492344e-03       9.615299196681e-01 
       2.013494526674e+02       5.615168909743e-03       8.771705296186e+02       3.730390945996e-01       1.322516069995e+04       6.535802556225e+01       2.676104029073e+06       3.555716744020e+02       4.613039867574e-03       2.063379494549e-02       1.107222298557e-01       3.530299370118e-08       3.189062156619e-03       1.391581660997e-01       1.391581660997e-01       2.600661599717e-03      -1.917797181533e-05       6.600243677007e-03       9.619253147663e-01 
       1.991860504424e+02       5.709925635238e-03       8.830177275261e+02       3.669626072351e-01       1.321931350204e+04       6.603513817682e+01       2.646322159533e+06       3.571860623678e+02       4.418901459402e-03       1.997903198098e-02       1.072087309745e-01       3.530299370118e-08       3.054851426077e-03       1.346615551088e-01       1.346615551088e-01       2.491211892897e-03      -1.826692611615e-05       6.668856411840e-03       9.623168086530e-01 
       1.970457780511e+02       5.806251278884e-03       8.888981895148e+02       3.609861938884e-01       1.321343304005e+04       6.671908469889e+01       2.616864627143e+06       3.588029097543e+02       4.232933308286e-03       1.934504631608e-02       1.038067243780e-01       3.530299370118e-08       2.926288914135e-03       1.303110321780e-01       1.303110321780e-01       2.386368344619e-03      -1.739921215324e-05       6.738210624528e-03       9.627044364585e-01 
       1.949283882028e+02       5.904171522624e-03       8.948120869956e+02       3.551081786013e-01       1.320751914257e+04       6.740993106572e+01       2.587727937761e+06       3.604221990231e+02       4.054791571392e-03       1.873117863406e-02       1.005126721318e-01       3.530299370118e-08       2.803136917199e-03       1.261018185095e-01       1.261018185095e-01       2.285937106074e-03      -1.657276597774e-05       6.808314328420e-03       9.630882330665e-01 
       1.928336362507e+02       6.003712466692e-03       9.007595923227e+02       3.493269141780e-01       1.320157163724e+04       6.810774379822e+01       2.558908634671e+06       3.620439126883e+02       3.884146876411e-03       1.813679053999e-02       9.732314856861e-02       3.530299370118e-08       2.685167735354e-03       1.220292929691e-01       1.220292929691e-01       2.189732486520e-03      -1.578562211720e-05       6.879175623457e-03       9.634682331134e-01 
       1.907612801637e+02       6.104900636518e-03       9.067408787985e+02       3.436407816746e-01       1.319559035077e+04       6.881259000515e+01       2.530403298178e+06       3.636680333173e+02       3.720683712567e-03       1.756126389683e-02       9.423483672679e-02       3.530299370118e-08       2.572163251374e-03       1.180889868299e-01       1.180889868299e-01       2.097576609958e-03      -1.503590886754e-05       6.950802697122e-03       9.638444709880e-01 
       1.887110804981e+02       6.207762989494e-03       9.127561206794e+02       3.380481898982e-01       1.318957510888e+04       6.952453738733e+01       2.502208545218e+06       3.652945435321e+02       3.564099847262e-03       1.700400018262e-02       9.124452490009e-02       3.530299370118e-08       2.463914527427e-03       1.142765786934e-01       1.142765786934e-01       2.009299086243e-03      -1.432184381073e-05       7.023203825365e-03       9.642169808331e-01 
       1.866828003706e+02       6.312326922052e-03       9.188054931808e+02       3.325475749148e-01       1.318352573638e+04       7.024365424188e+01       2.474321028963e+06       3.669234260103e+02       3.414105767268e-03       1.646441986802e-02       8.834910329798e-02       3.530299370118e-08       2.360221418770e-03       1.105878895817e-01       1.105878895817e-01       1.924736696052e-03      -1.364172954716e-05       7.096387373572e-03       9.645857965464e-01 
       1.846762054302e+02       6.418620276906e-03       9.248891724824e+02       3.271373995673e-01       1.317744205708e+04       7.097000946647e+01       2.446737438435e+06       3.685546634860e+02       3.270424143433e-03       1.594196181364e-02       8.554556081150e-02       3.530299370118e-08       2.260892203692e-03       1.070188781956e-01       1.070188781956e-01       1.843733089098e-03      -1.299394963248e-05       7.170361797533e-03       9.649509517778e-01 
       1.826910638315e+02       6.526671350153e-03       9.310073357337e+02       3.218161530010e-01       1.317132389383e+04       7.170367256356e+01       2.419454498127e+06       3.701882387511e+02       3.132789317921e-03       1.543608268647e-02       8.283098188186e-02       3.530299370118e-08       2.165743229030e-03       1.035656363323e-01       1.035656363323e-01       1.766138495047e-03      -1.237696470906e-05       7.245135644410e-03       9.653124799328e-01 
       1.807271462080e+02       6.636508898705e-03       9.371601610596e+02       3.165823501992e-01       1.316517106850e+04       7.244471364468e+01       2.392468967619e+06       3.718241346562e+02       3.000946813027e-03       1.494625639485e-02       8.020254346841e-02       3.530299370118e-08       2.074598570613e-03       1.002243844576e-01       1.002243844576e-01       1.691809446607e-03      -1.178930882277e-05       7.320717553729e-03       9.656704141722e-01 
       1.787842256452e+02       6.748162147886e-03       9.433478275655e+02       3.114345315266e-01       1.315898340200e+04       7.319320343468e+01       2.365777641207e+06       3.734623341114e+02       2.874652860662e-03       1.447197354135e-02       7.765751211275e-02       3.530299370118e-08       1.987289707985e-03       9.699146742719e-02       9.699146742719e-02       1.620608514264e-03      -1.122958591606e-05       7.397116258384e-03       9.660247874114e-01 
       1.768620776549e+02       6.861660798888e-03       9.495705153429e+02       3.063712622812e-01       1.315276071422e+04       7.394921327601e+01       2.339377347530e+06       3.751028200875e+02       2.753673951649e-03       1.401274089300e-02       7.519324109612e-02       3.530299370118e-08       1.903655212824e-03       9.386335035176e-02       9.386335035176e-02       1.552404052184e-03      -1.069646648902e-05       7.474340585636e-03       9.663756323225e-01 
       1.749604801489e+02       6.977035036571e-03       9.558284054749e+02       3.013911322544e-01       1.314650282409e+04       7.471281513306e+01       2.313264949206e+06       3.767455756168e+02       2.637786403970e-03       1.356808086841e-02       7.280716768688e-02       3.530299370118e-08       1.823540450468e-03       9.083661460162e-02       9.083661460162e-02       1.487069954808e-03      -1.018868442034e-05       7.552399458133e-03       9.667229813349e-01 
       1.730792134133e+02       7.094315537438e-03       9.621216800415e+02       2.964927552998e-01       1.314020954952e+04       7.548408159637e+01       2.287437342467e+06       3.783905837940e+02       2.526775949201e-03       1.313753104102e-02       7.049681047542e-02       3.530299370118e-08       1.746797294013e-03       8.790795394528e-02       8.790795394528e-02       1.424485423692e-03      -9.705033940290e-06       7.631301894957e-03       9.670668666338e-01 
       1.712180600835e+02       7.213533477451e-03       9.684505221256e+02       2.916747689088e-01       1.313388070744e+04       7.626308588700e+01       2.261891456803e+06       3.800378277772e+02       2.420437336342e-03       1.272064365828e-02       6.825976679358e-02       3.530299370118e-08       1.673283850429e-03       8.507417081800e-02       8.507417081800e-02       1.364534744160e-03      -9.244366748757e-06       7.711057012644e-03       9.674073201634e-01 
       1.693768051185e+02       7.334720540236e-03       9.748151158179e+02       2.869358337950e-01       1.312751611375e+04       7.704990186083e+01       2.236624254602e+06       3.816872907884e+02       2.318573952316e-03       1.231698517597e-02       6.609371021599e-02       3.530299370118e-08       1.602864198211e-03       8.233217271561e-02       8.233217271561e-02       1.307107071352e-03      -8.805589271096e-06       7.791674026248e-03       9.677443736259e-01 
       1.675552357769e+02       7.457908925436e-03       9.812156462232e+02       2.822746334856e-01       1.312111558334e+04       7.784460401283e+01       2.211632730806e+06       3.833389561151e+02       2.220997458452e-03       1.192613580730e-02       6.399638814069e-02       3.530299370118e-08       1.535408136072e-03       7.967896870940e-02       7.967896870940e-02       1.252096225282e-03      -8.387660045327e-06       7.873162250413e-03       9.680780584829e-01 
       1.657531415912e+02       7.583131356920e-03       9.876522994652e+02       2.776898739207e-01       1.311467893010e+04       7.864726748145e+01       2.186913912554e+06       3.849928071103e+02       2.127527442255e-03       1.154768908643e-02       6.196561944654e-02       3.530299370118e-08       1.470790942207e-03       7.711166607809e-02       7.711166607809e-02       1.199400494515e-03      -7.989587234341e-06       7.955531100432e-03       9.684084059562e-01 
       1.639703143447e+02       7.710421091399e-03       9.941252626930e+02       2.731802830597e-01       1.310820596687e+04       7.945796805287e+01       2.162464858849e+06       3.866488271938e+02       2.037991083837e-03       1.118125144568e-02       5.999929222493e-02       3.530299370118e-08       1.408893143690e-03       7.462746705259e-02       7.462746705259e-02       1.148922448115e-03      -7.610426257114e-06       8.038790093347e-03       9.687354470279e-01 
