# Matter power spectrum P(k) at redshift z=0
# for k=1.0452e-05 to 1.65827 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045202056027e-05       4.778521494255e+01 
       1.315831428793e-05       5.968949401383e+01 
       1.656533623344e-05       7.455930029258e+01 
       2.085452273920e-05       9.313331757204e+01 
       2.625428862721e-05       1.163341712313e+02 
       3.305219112138e-05       1.453141416844e+02 
       4.161024331818e-05       1.815122384505e+02 
       5.238419270420e-05       2.267252408669e+02 
       6.594779137163e-05       2.831961927945e+02 
       8.302335040945e-05       3.537242019698e+02 
       1.045202056027e-04       4.418003643434e+02 
       1.315831428793e-04       5.517749957058e+02 
       1.656533623344e-04       6.890616770247e+02 
       2.085452273920e-04       8.603829264856e+02 
       2.625428862721e-04       1.074059704044e+03 
       3.305219112138e-04       1.340342405416e+03 
       4.161024331818e-04       1.671771208162e+03 
       5.238419270420e-04       2.083542822448e+03 
       6.594779137163e-04       2.593846823791e+03 
       8.302335040945e-04       3.224113102014e+03 
       1.045202056027e-03       3.999040332924e+03 
       1.315831428793e-03       4.946114412055e+03 
       1.656533623344e-03       6.094082947087e+03 
       2.085452273920e-03       7.470803218645e+03 
       2.625428862721e-03       9.098656500406e+03 
       3.305219112138e-03       1.098827900877e+04 
       4.161024331818e-03       1.312954894529e+04 
       5.238419270420e-03       1.547963396175e+04 
       6.594779137163e-03       1.794924166375e+04 
       8.302335040945e-03       2.038670290948e+04 
       1.045202056027e-02       2.256087106866e+04 
       1.315831428793e-02       2.415458389562e+04 
       1.656533623341e-02       2.477794527261e+04 
       2.085452255764e-02       2.404751582608e+04 
       2.625415350786e-02       2.179006446108e+04 
       3.303382961568e-02       1.835187098162e+04 
       4.100924699294e-02       1.492594326005e+04 
       4.770591238728e-02       1.297342800530e+04 
       5.256749851651e-02       1.201122885058e+04 
       5.658094746026e-02       1.140983967824e+04 
       6.016644889616e-02       1.095405766295e+04 
       6.351165087870e-02       1.055570846785e+04 
       6.671601020523e-02       1.016878496465e+04 
       6.983922068856e-02       9.768655969231e+03 
       7.292052207477e-02       9.344150314306e+03 
       7.598758537820e-02       8.892635752627e+03 
       7.906106522344e-02       8.417588517499e+03 
       8.215713119858e-02       7.927835370049e+03 
       8.528896859388e-02       7.435384109808e+03 
       8.846771500049e-02       6.954009302685e+03 
       9.170306980871e-02       6.496981719339e+03 
       9.500370475318e-02       6.076947914306e+03 
       9.837754844108e-02       5.703385681081e+03 
       1.018319882211e-01       5.381733093666e+03 
       1.053740161489e-01       5.113122419089e+03 
       1.090103361106e-01       4.894418450998e+03 
       1.127474433098e-01       4.717699806422e+03 
       1.165916836858e-01       4.571018661132e+03 
       1.205492985094e-01       4.439658125054e+03 
       1.246264579057e-01       4.307762102094e+03 
       1.288292860577e-01       4.160464441197e+03 
       1.331638801912e-01       3.987290882460e+03 
       1.376363250026e-01       3.784720318050e+03 
       1.422527039010e-01       3.556346014687e+03 
       1.470191082430e-01       3.314091339684e+03 
       1.519416456171e-01       3.073763608631e+03 
       1.570264481527e-01       2.851885906242e+03 
       1.622796817814e-01       2.661503068410e+03 
       1.677075573465e-01       2.508725133472e+03 
       1.733163444370e-01       2.391596615337e+03 
       1.791123888090e-01       2.299892911967e+03 
       1.851021342503e-01       2.218996017870e+03 
       1.912921497373e-01       2.132609198591e+03 
       1.976891627379e-01       2.028142134406e+03 
       2.043000995290e-01       1.903462487723e+03 
       2.111321334252e-01       1.767842542150e+03 
       2.181927418803e-01       1.635602733608e+03 
       2.254897735143e-01       1.519789123151e+03 
       2.330315262719e-01       1.426919125630e+03 
       2.408268381326e-01       1.355223482364e+03 
       2.488851920981e-01       1.294483878172e+03 
       2.572168376045e-01       1.231919785043e+03 
       2.658329310676e-01       1.160193241829e+03 
       2.747456990254e-01       1.080497176407e+03 
       2.839686283384e-01       1.001485067911e+03 
       2.935166892241e-01       9.327352049334e+02 
       3.034065986506e-01       8.771130616787e+02 
       3.136571339379e-01       8.295080496946e+02 
       3.242895095368e-01       7.824071047051e+02 
       3.353278341937e-01       7.313318725240e+02 
       3.467996715151e-01       6.791765117757e+02 
       3.587367350344e-01       6.315165550455e+02 
       3.711757602814e-01       5.907687893851e+02 
       3.841596127090e-01       5.537311917657e+02 
       3.977387141643e-01       5.165376559356e+02 
       4.119729060075e-01       4.790075949396e+02 
       4.269339206557e-01       4.439677508825e+02 
       4.427087165194e-01       4.123738708584e+02 
       4.594040634099e-01       3.824454982672e+02 
       4.771529810802e-01       3.527864019964e+02 
       4.961239961521e-01       3.244764370065e+02 
       5.165348136045e-01       2.981864325757e+02 
       5.386731396861e-01       2.726258918235e+02 
       5.629295469677e-01       2.478404809696e+02 
       5.898515449088e-01       2.241267885066e+02 
       6.202369840521e-01       2.008615585409e+02 
       6.553049576464e-01       1.780913687213e+02 
       6.970303358793e-01       1.553981661843e+02 
       7.488509334330e-01       1.325110480576e+02 
       8.172827426401e-01       1.089116536429e+02 
       9.157352636370e-01       8.415759163242e+01 
       1.071540824168e+00       5.866000021309e+01 
       1.319324054875e+00       3.608945271516e+01 
       1.658268190537e+00       2.095876278099e+01 
