# Matter power spectrum P(k) at redshift z=0
# for k=1.04726e-05 to 1.66153 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047262544461e-05       4.742923745721e+01 
       1.318425430043e-05       5.924481071538e+01 
       1.659799277436e-05       7.400386229147e+01 
       2.089563488842e-05       9.243951000246e+01 
       2.630604575661e-05       1.154675216148e+02 
       3.311734948681e-05       1.442315988954e+02 
       4.169227284022e-05       1.801600182563e+02 
       5.248746175401e-05       2.250361879623e+02 
       6.607779940269e-05       2.810864173068e+02 
       8.318702082349e-05       3.510889210888e+02 
       1.047262544461e-04       4.385088013632e+02 
       1.318425430043e-04       5.476638076981e+02 
       1.659799277436e-04       6.839271057856e+02 
       2.089563488842e-04       8.539707629384e+02 
       2.630604575661e-04       1.066053216961e+03 
       3.311734948681e-04       1.330347175094e+03 
       4.169227284022e-04       1.659297309840e+03 
       5.248746175401e-04       2.067983062490e+03 
       6.607779940269e-04       2.574450994477e+03 
       8.318702082349e-04       3.199959030241e+03 
       1.047262544461e-03       3.969001292694e+03 
       1.318425430043e-03       4.908826517817e+03 
       1.659799277436e-03       6.047915701529e+03 
       2.089563488842e-03       7.413844140670e+03 
       2.630604575661e-03       9.028713581514e+03 
       3.311734948681e-03       1.090292752315e+04 
       4.169227284022e-03       1.302623545340e+04 
       5.248746175401e-03       1.535586373421e+04 
       6.607779940269e-03       1.780290999085e+04 
       8.318702082349e-03       2.021650736315e+04 
       1.047262544461e-02       2.236692368275e+04 
       1.318425430043e-02       2.393919851619e+04 
       1.659799277433e-02       2.454688110165e+04 
       2.089563469472e-02       2.381149911434e+04 
       2.630590389129e-02       2.156118831113e+04 
       3.309832185544e-02       1.814937017970e+04 
       4.107679812060e-02       1.476279363093e+04 
       4.775328359785e-02       1.284158131646e+04 
       5.260448087559e-02       1.189310457539e+04 
       5.661301204060e-02       1.129868181904e+04 
       6.019585022079e-02       1.084840431875e+04 
       6.353950635715e-02       1.045405488850e+04 
       6.674295835220e-02       1.007036794787e+04 
       6.986566580652e-02       9.673976490346e+03 
       7.294674085783e-02       9.253299321017e+03 
       7.601377928067e-02       8.805988627289e+03 
       7.908738863470e-02       8.334904387415e+03 
       8.218370771095e-02       7.849741590762e+03 
       8.531590093855e-02       7.361896483927e+03 
       8.849509139912e-02       6.884934639976e+03 
       9.173096818879e-02       6.432662921284e+03 
       9.503219563360e-02       6.016977501851e+03 
       9.840669695876e-02       5.647300684974e+03 
       1.018618555845e-01       5.329054397423e+03 
       1.054046606979e-01       5.063386267652e+03 
       1.090418140995e-01       4.847111684605e+03 
       1.127798094910e-01       4.672325013755e+03 
       1.166249917468e-01       4.527259349362e+03 
       1.205836014021e-01       4.397168883573e+03 
       1.246618080928e-01       4.266423961384e+03 
       1.288657356989e-01       4.120322636080e+03 
       1.332014812836e-01       3.948514316991e+03 
       1.376751294882e-01       3.747592078045e+03 
       1.422927637526e-01       3.521166664623e+03 
       1.470604755376e-01       3.281164686504e+03 
       1.519843726053e-01       3.043215429682e+03 
       1.570705873326e-01       2.823502137823e+03 
       1.623252859842e-01       2.635235982193e+03 
       1.677546798420e-01       2.484173770389e+03 
       1.733650390659e-01       2.368448985720e+03 
       1.791627101497e-01       2.277679764951e+03 
       1.851541378272e-01       2.197619859929e+03 
       1.913458922777e-01       2.111921816610e+03 
       1.977447024858e-01       2.008153504795e+03 
       2.043574966217e-01       1.884590527184e+03 
       2.111914503424e-01       1.750127776586e+03 
       2.182540439726e-01       1.619284502339e+03 
       2.255531296218e-01       1.504730694032e+03 
       2.330970094434e-01       1.412927258373e+03 
       2.408945264591e-01       1.342045680026e+03 
       2.489551696768e-01       1.281906826508e+03 
       2.572891956536e-01       1.219868808784e+03 
       2.659077692182e-01       1.148726730462e+03 
       2.748231268243e-01       1.069722249300e+03 
       2.840487670041e-01       9.915118195090e+02 
       2.935996737135e-01       9.235121298299e+02 
       3.034925801085e-01       8.685062747289e+02 
       3.137462826257e-01       8.213826341636e+02 
       3.243820183687e-01       7.746982955476e+02 
       3.354239230482e-01       7.240651544058e+02 
       3.468995925500e-01       6.724142515038e+02 
       3.588407793143e-01       6.252537588645e+02 
       3.712842661430e-01       5.849381166330e+02 
       3.842729764551e-01       5.482809413448e+02 
       3.978574039263e-01       5.114013168741e+02 
       4.120974799829e-01       4.742298904418e+02 
       4.270650514935e-01       4.395472284269e+02 
       4.428472245104e-01       4.082670458641e+02 
       4.595509625639e-01       3.786263276305e+02 
       4.773095445236e-01       3.492463011680e+02 
       4.962918513001e-01       3.212191734508e+02 
       5.167160846705e-01       2.951878961762e+02 
       5.388706681919e-01       2.698705253974e+02 
       5.631472461807e-01       2.453248869719e+02 
       5.900949954567e-01       2.218383703825e+02 
       6.205144885716e-01       1.987937020865e+02 
       6.556295268712e-01       1.762386939874e+02 
       6.974237067707e-01       1.537569256189e+02 
       7.493523690762e-01       1.310741278739e+02 
       8.179697111670e-01       1.076873451911e+02 
       9.167711553715e-01       8.315803330092e+01 
       1.073231654203e+00       5.790128796128e+01 
       1.321858683071e+00       3.559152120159e+01 
       1.661531472985e+00       2.066574573384e+01 
