# Matter power spectrum P(k) at redshift z=0
# for k=1.04364e-05 to 1.65579 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043637907752e-05       4.805780301027e+01 
       1.313862282781e-05       6.002999307543e+01 
       1.654054615390e-05       7.498462484404e+01 
       2.082331387810e-05       9.366459300227e+01 
       2.621499899891e-05       1.169978043587e+02 
       3.300272840989e-05       1.461430923885e+02 
       4.154797345375e-05       1.825476896166e+02 
       5.230579958947e-05       2.280186340381e+02 
       6.584910028740e-05       2.848117553232e+02 
       8.289910569559e-05       3.557421569635e+02 
       1.043637907752e-04       4.443208815288e+02 
       1.313862282781e-04       5.549231243639e+02 
       1.654054615390e-04       6.929934998149e+02 
       2.082331387810e-04       8.652930244090e+02 
       2.621499899891e-04       1.080190708902e+03 
       3.300272840989e-04       1.347996260837e+03 
       4.154797345375e-04       1.681323107906e+03 
       5.230579958947e-04       2.095457903277e+03 
       6.584910028740e-04       2.608699480547e+03 
       8.289910569559e-04       3.242609475128e+03 
       1.043637907752e-03       4.022043345841e+03 
       1.313862282781e-03       4.974668868085e+03 
       1.654054615390e-03       6.129437833094e+03 
       2.082331387810e-03       7.514423523679e+03 
       2.621499899891e-03       9.152222278703e+03 
       3.300272840989e-03       1.105364861957e+04 
       4.154797345375e-03       1.320868049102e+04 
       5.230579958947e-03       1.557444119649e+04 
       6.584910028740e-03       1.806134381909e+04 
       8.289910569559e-03       2.051710595285e+04 
       1.043637907752e-02       2.270947755131e+04 
       1.313862282781e-02       2.431960473502e+04 
       1.654054615387e-02       2.495516490793e+04 
       2.082331370529e-02       2.422932941800e+04 
       2.621486880467e-02       2.196532935260e+04 
       3.298485900948e-02       1.850741255166e+04 
       4.095780116711e-02       1.505113635861e+04 
       4.766981072482e-02       1.307484091475e+04 
       5.253934394134e-02       1.210191788587e+04 
       5.655655044340e-02       1.149487435398e+04 
       6.014408524444e-02       1.103568678242e+04 
       6.349046710751e-02       1.063382089586e+04 
       6.669551905142e-02       1.024409745698e+04 
       6.981911382565e-02       9.841185295369e+03 
       7.290058860103e-02       9.413863413129e+03 
       7.596767180571e-02       8.959540546114e+03 
       7.904105396460e-02       8.480953564460e+03 
       8.213692815026e-02       7.987769566368e+03 
       8.526849555713e-02       7.492076320525e+03 
       8.844690483622e-02       7.006825221898e+03 
       9.168186322362e-02       6.546314038421e+03 
       9.498204809991e-02       6.123018390220e+03 
       9.835539217358e-02       5.746373170078e+03 
       1.018092857869e-01       5.422152979235e+03 
       1.053507231815e-01       5.151288112724e+03 
       1.089864098328e-01       4.930766614467e+03 
       1.127228420893e-01       4.752466369769e+03 
       1.165663667015e-01       4.604698391293e+03 
       1.205232255016e-01       4.472260472476e+03 
       1.245995889876e-01       4.339472393323e+03 
       1.288015815736e-01       4.191264291716e+03 
       1.331353006098e-01       4.017039269266e+03 
       1.376068308351e-01       3.813204438703e+03 
       1.422222556354e-01       3.583332257427e+03 
       1.469876662886e-01       3.339438766697e+03 
       1.519091702516e-01       3.097273045490e+03 
       1.569928994661e-01       2.873610649630e+03 
       1.622450196109e-01       2.681622672204e+03 
       1.676717411965e-01       2.527519376689e+03 
       1.732793333787e-01       2.409385363395e+03 
       1.790741413539e-01       2.316843032862e+03 
       1.850626081920e-01       2.235391617659e+03 
       1.912513019563e-01       2.148478443708e+03 
       1.976469489639e-01       2.043411814490e+03 
       2.042564740544e-01       1.918028200900e+03 
       2.110870487645e-01       1.781324505709e+03 
       2.181461483687e-01       1.648124281505e+03 
       2.254416188379e-01       1.531345500996e+03 
       2.329817549216e-01       1.437656567040e+03 
       2.407753907709e-01       1.365332669379e+03 
       2.488320048275e-01       1.304133360550e+03 
       2.571618411205e-01       1.241161261947e+03 
       2.657760496778e-01       1.168990692524e+03 
       2.746868495085e-01       1.088756292371e+03 
       2.839077186103e-01       1.009132430058e+03 
       2.934536167692e-01       9.398153818175e+02 
       3.033412486620e-01       8.837170702196e+02 
       3.135893770933e-01       8.357426675327e+02 
       3.242191993149e-01       7.883232620222e+02 
       3.352548036008e-01       7.369064613679e+02 
       3.467237290515e-01       6.843664408481e+02 
       3.586576596637e-01       6.363222283392e+02 
       3.710932950833e-01       5.952424918797e+02 
       3.840734567636e-01       5.579320489126e+02 
       3.976485120353e-01       5.204786890790e+02 
       4.118782339060e-01       4.826737720913e+02 
       4.268342679436e-01       4.473608981069e+02 
       4.426034605364e-01       4.155177113253e+02 
       4.592924345333e-01       3.853762306638e+02 
       4.770340131419e-01       3.555024354053e+02 
       4.959964542964e-01       3.269733383638e+02 
       5.163970862871e-01       3.004875384751e+02 
       5.385230716054e-01       2.747411904775e+02 
       5.627641706095e-01       2.497690327582e+02 
       5.896666295829e-01       2.258831477723e+02 
       6.200262377166e-01       2.024565758353e+02 
       6.550585245558e-01       1.795203057465e+02 
       6.967317588654e-01       1.566640569406e+02 
       7.484705051532e-01       1.336101139854e+02 
       8.167618876286e-01       1.098483668083e+02 
       9.149504615086e-01       8.492549876515e+01 
       1.070260105199e+00       5.924334434362e+01 
       1.317401473542e+00       3.647282672566e+01 
       1.655791637508e+00       2.118444610965e+01 
