# Matter power spectrum P(k) at redshift z=0
# for k=1.04259e-05 to 1.65413 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042585977933e-05       4.824228412013e+01 
       1.312537981600e-05       6.026043170545e+01 
       1.652387418981e-05       7.527246416087e+01 
       2.080232511884e-05       9.402414677983e+01 
       2.618857571651e-05       1.174469303618e+02 
       3.296946346821e-05       1.467041033949e+02 
       4.150609537335e-05       1.832484519929e+02 
       5.225307820986e-05       2.288939561296e+02 
       6.578272800286e-05       2.859051153741e+02 
       8.281554793995e-05       3.571078439772e+02 
       1.042585977933e-04       4.460266871991e+02 
       1.312537981600e-04       5.570536763383e+02 
       1.652387418981e-04       6.956543899886e+02 
       2.080232511884e-04       8.686160257609e+02 
       2.618857571651e-04       1.084339972800e+03 
       3.296946346821e-04       1.353176151335e+03 
       4.150609537335e-04       1.687787535257e+03 
       5.225307820986e-04       2.103521573270e+03 
       6.578272800286e-04       2.618751194861e+03 
       8.281554793995e-04       3.255127391345e+03 
       1.042585977933e-03       4.037611470090e+03 
       1.312537981600e-03       4.993994264909e+03 
       1.652387418981e-03       6.153366021863e+03 
       2.080232511884e-03       7.543946505642e+03 
       2.618857571651e-03       9.188477146641e+03 
       3.296946346821e-03       1.109789445160e+04 
       4.150609537335e-03       1.326224400367e+04 
       5.225307820986e-03       1.563861881786e+04 
       6.578272800286e-03       1.813723441919e+04 
       8.281554793995e-03       2.060539377373e+04 
       1.042585977933e-02       2.281017191205e+04 
       1.312537981600e-02       2.443127991485e+04 
       1.652387418978e-02       2.507506903994e+04 
       2.080232495169e-02       2.435347871818e+04 
       2.618844874226e-02       2.208414875863e+04 
       3.295191856410e-02       1.861293785664e+04 
       4.092312204804e-02       1.513605797888e+04 
       4.764546217803e-02       1.314329851874e+04 
       5.252036974398e-02       1.216334245962e+04 
       5.654011522663e-02       1.155207506182e+04 
       6.012902320070e-02       1.109038017894e+04 
       6.347620168305e-02       1.068667624671e+04 
       6.668172130011e-02       1.029519763342e+04 
       6.980557569954e-02       9.890348689372e+03 
       7.288716784417e-02       9.461106164907e+03 
       7.595426491993e-02       9.004664654980e+03 
       7.902758167981e-02       8.523895994930e+03 
       8.212332704200e-02       8.028384067607e+03 
       8.525471293012e-02       7.530289235541e+03 
       8.843289545541e-02       7.042639954895e+03 
       9.166758714564e-02       6.579769266046e+03 
       9.496746918917e-02       6.154244767987e+03 
       9.834047706036e-02       5.775611748908e+03 
       1.017940031204e-01       5.449419726489e+03 
       1.053350430849e-01       5.177145389418e+03 
       1.089703035013e-01       4.955421041723e+03 
       1.127062814901e-01       4.776112749242e+03 
       1.165493243493e-01       4.627410214541e+03 
       1.205056742894e-01       4.494345374319e+03 
       1.245815020602e-01       4.360961571208e+03 
       1.287829322319e-01       4.212138350338e+03 
       1.331160622387e-01       4.037198840924e+03 
       1.375869768482e-01       3.832509176788e+03 
       1.422017594311e-01       3.601622332044e+03 
       1.469665012125e-01       3.356586150269e+03 
       1.518873095606e-01       3.113210795847e+03 
       1.569703162911e-01       2.888354073185e+03 
       1.622216869129e-01       2.695289427544e+03 
       1.676476317126e-01       2.540272477443e+03 
       1.732544195548e-01       2.421347482968e+03 
       1.790483952596e-01       2.328444214481e+03 
       1.850360014142e-01       2.246507064140e+03 
       1.912238054678e-01       2.159227200521e+03 
       1.976185329638e-01       2.053752325868e+03 
       2.042271077751e-01       1.927739057294e+03 
       2.110567002430e-01       1.790481680276e+03 
       2.181147841760e-01       1.656609886794e+03 
       2.254092037637e-01       1.539177717651e+03 
       2.329482516062e-01       1.444934117797e+03 
       2.407407592799e-01       1.372185852710e+03 
       2.487962021592e-01       1.310672203743e+03 
       2.571248206364e-01       1.247429984285e+03 
       2.657377604423e-01       1.175011527737e+03 
       2.746472355218e-01       1.094352388444e+03 
       2.838667179111e-01       1.014320251589e+03 
       2.934111603793e-01       9.446123021798e+02 
       3.032972593353e-01       8.881886185658e+02 
       3.135437678205e-01       8.399687162416e+02 
       3.241718715180e-01       7.923332704998e+02 
       3.352056449322e-01       7.406844808896e+02 
       3.466726106810e-01       6.878969384009e+02 
       3.586044328965e-01       6.395796200729e+02 
       3.710377870914e-01       5.982747294666e+02 
       3.840154651305e-01       5.607792047753e+02 
       3.975877976847e-01       5.231495488493e+02 
       4.118145118018e-01       4.851588509733e+02 
       4.267671946566e-01       4.496524235359e+02 
       4.425326173264e-01       4.176505889391e+02 
       4.592173038687e-01       3.873627322251e+02 
       4.769539453836e-01       3.573428456857e+02 
       4.959106192305e-01       3.286674807543e+02 
       5.163044005796e-01       3.020471437866e+02 
       5.384220866002e-01       2.761749924361e+02 
       5.626528920777e-01       2.510774061909e+02 
       5.895422150081e-01       2.270738064117e+02 
       6.198844606747e-01       2.035321792690e+02 
       6.548927669176e-01       1.804842102798e+02 
       6.965309739010e-01       1.575181765422e+02 
       7.482147612515e-01       1.343552923874e+02 
       8.164119033991e-01       1.104835879656e+02 
       9.144234142563e-01       8.544638583477e+01 
       1.069400154458e+00       5.963927993796e+01 
       1.316109218736e+00       3.673303209110e+01 
       1.654126406984e+00       2.133772802452e+01 
