# Matter power spectrum P(k) at redshift z=0
# for k=1.04675e-05 to 1.66072 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046750062506e-05       4.751744943321e+01 
       1.317780253486e-05       5.935501710825e+01 
       1.658987048274e-05       7.414149789940e+01 
       2.088540952910e-05       9.261143337100e+01 
       2.629317279191e-05       1.156822758973e+02 
       3.310114338443e-05       1.444998489571e+02 
       4.167187056610e-05       1.804950938958e+02 
       5.246177681266e-05       2.254547300014e+02 
       6.604546397733e-05       2.816092053856e+02 
       8.314631293480e-05       3.517419374911e+02 
       1.046750062506e-04       4.393244259703e+02 
       1.317780253486e-04       5.486825478455e+02 
       1.658987048274e-04       6.851994355834e+02 
       2.088540952910e-04       8.555596684160e+02 
       2.629317279191e-04       1.068037156587e+03 
       3.310114338443e-04       1.332823958532e+03 
       4.167187056610e-04       1.662388287803e+03 
       5.246177681266e-04       2.071838651005e+03 
       6.604546397733e-04       2.579257173531e+03 
       8.314631293480e-04       3.205944282058e+03 
       1.046750062506e-03       3.976444744823e+03 
       1.317780253486e-03       4.918066155648e+03 
       1.658987048274e-03       6.059355527601e+03 
       2.088540952910e-03       7.427957647120e+03 
       2.629317279191e-03       9.046044174751e+03 
       3.310114338443e-03       1.092407568022e+04 
       4.167187056610e-03       1.305183337723e+04 
       5.246177681266e-03       1.538652940928e+04 
       6.604546397733e-03       1.783916406578e+04 
       8.314631293480e-03       2.025866990621e+04 
       1.046750062506e-02       2.241496129144e+04 
       1.317780253486e-02       2.399251364978e+04 
       1.658987048271e-02       2.460321171297e+04 
       2.088540933848e-02       2.387019395827e+04 
       2.629303263242e-02       2.161776100754e+04 
       3.308228335532e-02       1.819951832400e+04 
       4.106002036268e-02       1.480309645600e+04 
       4.774152136143e-02       1.287418293764e+04 
       5.259529416541e-02       1.192234308999e+04 
       5.660504512723e-02       1.132644337036e+04 
       6.018854412364e-02       1.087456634206e+04 
       6.353258387912e-02       1.047923682444e+04 
       6.673626103535e-02       1.009464994506e+04 
       6.985909328817e-02       9.697390775632e+03 
       7.294022443733e-02       9.275790240641e+03 
       7.600726892988e-02       8.827491223510e+03 
       7.908084600769e-02       8.355416005262e+03 
       8.217710210705e-02       7.869074534524e+03 
       8.530920683634e-02       7.380090718970e+03 
       8.848828687975e-02       6.902252376640e+03 
       9.172403388953e-02       6.448584941862e+03 
       9.502511403138e-02       6.031842728408e+03 
       9.839945186702e-02       5.661167858484e+03 
       1.018544317922e-01       5.342097278871e+03 
       1.053970437064e-01       5.075696530471e+03 
       1.090339899280e-01       4.858829909647e+03 
       1.127717645318e-01       4.683683714832e+03 
       1.166167126566e-01       4.538204197208e+03 
       1.205750750202e-01       4.407690339636e+03 
       1.246530213801e-01       4.276661200689e+03 
       1.288566756914e-01       4.130256275495e+03 
       1.331921350577e-01       3.958114693759e+03 
       1.376654841340e-01       3.756784511513e+03 
       1.422828063526e-01       3.529876123618e+03 
       1.470501931483e-01       3.289328320037e+03 
       1.519737522401e-01       3.050797883369e+03 
       1.570596159432e-01       2.830520565607e+03 
       1.623139504397e-01       2.641683286983e+03 
       1.677429669024e-01       2.490237367828e+03 
       1.733529353490e-01       2.374157958406e+03 
       1.791502020902e-01       2.283196509024e+03 
       1.851412116242e-01       2.202913421194e+03 
       1.913325338312e-01       2.117043005171e+03 
       1.977308973187e-01       2.013082045920e+03 
       2.043432297860e-01       1.889266409514e+03 
       2.111767063074e-01       1.754499815801e+03 
       2.182388064936e-01       1.623324261713e+03 
       2.255373815864e-01       1.508459180448e+03 
       2.330807326925e-01       1.416390965287e+03 
       2.408777015795e-01       1.345308491184e+03 
       2.489377757617e-01       1.285020861517e+03 
       2.572712100253e-01       1.222852388005e+03 
       2.658891671068e-01       1.151565823848e+03 
       2.748038809940e-01       1.072386431366e+03 
       2.840288473165e-01       9.939810522438e+02 
       2.935790466136e-01       9.257965560551e+02 
       3.034712080156e-01       8.706380666636e+02 
       3.137241232050e-01       8.233939222211e+02 
       3.243590236517e-01       7.766074219028e+02 
       3.354000383603e-01       7.258628615160e+02 
       3.468747551887e-01       6.740878272984e+02 
       3.588149169004e-01       6.268048573720e+02 
       3.712572945401e-01       5.863694992821e+02 
       3.842447971088e-01       5.496117846833e+02 
       3.978279004160e-01       5.126729124782e+02 
       4.120665134845e-01       4.754127004865e+02 
       4.270324547121e-01       4.406412149971e+02 
       4.428127934221e-01       4.092825930061e+02 
       4.595144449504e-01       3.795718539500e+02 
       4.772706236979e-01       3.501221195504e+02 
       4.962501224205e-01       3.220250069576e+02 
       5.166710192705e-01       2.959303075005e+02 
       5.388215592898e-01       2.705530093868e+02 
       5.630931200385e-01       2.459475557074e+02 
       5.900344632744e-01       2.224048745953e+02 
       6.204454838335e-01       1.993056790276e+02 
       6.555488106189e-01       1.766972862190e+02 
       6.973258664547e-01       1.541631906463e+02 
       7.492276254309e-01       1.314285040267e+02 
       8.177987637355e-01       1.079937133892e+02 
       9.165132938252e-01       8.340536905375e+01 
       1.072810720647e+00       5.808896395399e+01 
       1.321228066030e+00       3.571463191467e+01 
       1.660719741642e+00       2.073819702187e+01 
