# Matter power spectrum P(k) at redshift z=0
# for k=1.04311e-05 to 1.65496 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043112869329e-05       4.814976783858e+01 
       1.313201298568e-05       6.014486366232e+01 
       1.653222485569e-05       7.512811216271e+01 
       2.081283798432e-05       9.384382575517e+01 
       2.620181063001e-05       1.172216866804e+02 
       3.298612523714e-05       1.464227481124e+02 
       4.152707129766e-05       1.828970115906e+02 
       5.227948533402e-05       2.284549688050e+02 
       6.581597260252e-05       2.853567789889e+02 
       8.285740041126e-05       3.564229344036e+02 
       1.043112869329e-04       4.451711988738e+02 
       1.313201298568e-04       5.559851756800e+02 
       1.653222485569e-04       6.943199054943e+02 
       2.081283798432e-04       8.669495268018e+02 
       2.620181063001e-04       1.082259060744e+03 
       3.298612523714e-04       1.350578368856e+03 
       4.152707129766e-04       1.684545603228e+03 
       5.227948533402e-04       2.099477501364e+03 
       6.581597260252e-04       2.613710083480e+03 
       8.285740041126e-04       3.248849472780e+03 
       1.043112869329e-03       4.029803994889e+03 
       1.313201298568e-03       4.984302302260e+03 
       1.653222485569e-03       6.141365596623e+03 
       2.081283798432e-03       7.529140164514e+03 
       2.620181063001e-03       9.170294535013e+03 
       3.298612523714e-03       1.107570399073e+04 
       4.152707129766e-03       1.323538034824e+04 
       5.227948533402e-03       1.560643191743e+04 
       6.581597260252e-03       1.809917141648e+04 
       8.285740041126e-03       2.056111272183e+04 
       1.043112869329e-02       2.275966695712e+04 
       1.313201298568e-02       2.437525310997e+04 
       1.653222485566e-02       2.501498023865e+04 
       2.081283781436e-02       2.429094523285e+04 
       2.620168205209e-02       2.202454814789e+04 
       3.296841844370e-02       1.855998435048e+04 
       4.094050024462e-02       1.509342809203e+04 
       4.765766496888e-02       1.310884308624e+04 
       5.252987766353e-02       1.213252635066e+04 
       5.654835024025e-02       1.152319028368e+04 
       6.013656986342e-02       1.106302825593e+04 
       6.348334903520e-02       1.066014838180e+04 
       6.668863422875e-02       1.026960436747e+04 
       6.981235848044e-02       9.865685208246e+03 
       7.289389177219e-02       9.437405081954e+03 
       7.596098186246e-02       8.981810112119e+03 
       7.903433136053e-02       8.502352983158e+03 
       8.213014124273e-02       8.008003730657e+03 
       8.526161805538e-02       7.511113005784e+03 
       8.843991417088e-02       7.024578256578e+03 
       9.167473946499e-02       6.562984718070e+03 
       9.497477321782e-02       6.138579687664e+03 
       9.834794951761e-02       5.760974050531e+03 
       1.018016597138e-01       5.435806212811e+03 
       1.053428987834e-01       5.164169228798e+03 
       1.089783727364e-01       4.943080539972e+03 
       1.127145783066e-01       4.764216081831e+03 
       1.165578625177e-01       4.616015278835e+03 
       1.205144673905e-01       4.483270849748e+03 
       1.245905635486e-01       4.350179361524e+03 
       1.287922754840e-01       4.201666972623e+03 
       1.331257005890e-01       4.027085927197e+03 
       1.375969236165e-01       3.822826073406e+03 
       1.422120279450e-01       3.592448704785e+03 
       1.469771048260e-01       3.347984357615e+03 
       1.518982616723e-01       3.105216015926e+03 
       1.569816303624e-01       2.880957511217e+03 
       1.622333764906e-01       2.688433187035e+03 
       1.676597104556e-01       2.533902282058e+03 
       1.732669012679e-01       2.415298772483e+03 
       1.790612939360e-01       2.322585321676e+03 
       1.850493312889e-01       2.240933094078e+03 
       1.912375810834e-01       2.153833356212e+03 
       1.976327692505e-01       2.048563737329e+03 
       2.042418201473e-01       1.922929646331e+03 
       2.110719047139e-01       1.785876122081e+03 
       2.181304974931e-01       1.652353311489e+03 
       2.254254435667e-01       1.535248186477e+03 
       2.329650366115e-01       1.441283214347e+03 
       2.407581094934e-01       1.368748201053e+03 
       2.488141391235e-01       1.307391557754e+03 
       2.571433677156e-01       1.244287914666e+03 
       2.657569431530e-01       1.171962747034e+03 
       2.746670819172e-01       1.091545995439e+03 
       2.838872590306e-01       1.011718104777e+03 
       2.934324307772e-01       9.422059707220e+02 
       3.033192977072e-01       8.859397141561e+02 
       3.135666177524e-01       8.378489367597e+02 
       3.241955823906e-01       7.903227205452e+02 
       3.352302730236e-01       7.387891402246e+02 
       3.466982205249e-01       6.861205198608e+02 
       3.586310989768e-01       6.379454028205e+02 
       3.710655959797e-01       5.967535481445e+02 
       3.840445182188e-01       5.593511536796e+02 
       3.976182147267e-01       5.218102110941e+02 
       4.118464355706e-01       4.839122435379e+02 
       4.268007971721e-01       4.484986509732e+02 
       4.425681083275e-01       4.165806965452e+02 
       4.592549425726e-01       3.863661997862e+02 
       4.769940571703e-01       3.564195664691e+02 
       4.959536199136e-01       3.278180046455e+02 
       5.163508327345e-01       3.012647175803e+02 
       5.384726757478e-01       2.754557195203e+02 
       5.627086369388e-01       2.504210092886e+02 
       5.896045390698e-01       2.264764639454e+02 
       6.199554803536e-01       2.029924764266e+02 
       6.549757960854e-01       1.800005987327e+02 
       6.966315435150e-01       1.570896930073e+02 
       7.483428498863e-01       1.339814237547e+02 
       8.165871750150e-01       1.101648447668e+02 
       9.146873280584e-01       8.518502934004e+01 
       1.069830750793e+00       5.944058717766e+01 
       1.316756410757e+00       3.660238530053e+01 
       1.654960457399e+00       2.126081064933e+01 
