# Matter power spectrum P(k) at redshift z=0
# for k=1.04468e-05 to 1.65745 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044682486217e-05       4.787553383035e+01 
       1.315177329155e-05       5.980231534911e+01 
       1.655710160688e-05       7.470022768029e+01 
       2.084415595856e-05       9.330934729450e+01 
       2.624123762363e-05       1.165540601691e+02 
       3.303576088132e-05       1.455888056795e+02 
       4.158955887145e-05       1.818553238949e+02 
       5.235815252858e-05       2.271537938648e+02 
       6.591500873283e-05       2.837314961585e+02 
       8.298207951239e-05       3.543928328510e+02 
       1.044682486217e-04       4.426355154730e+02 
       1.315177329155e-04       5.528181025696e+02 
       1.655710160688e-04       6.903644431934e+02 
       2.084415595856e-04       8.620098402958e+02 
       2.624123762363e-04       1.076091160160e+03 
       3.303576088132e-04       1.342878446133e+03 
       4.158955887145e-04       1.674936136599e+03 
       5.235815252858e-04       2.087490789357e+03 
       6.591500873283e-04       2.598768088772e+03 
       8.298207951239e-04       3.230241698952e+03 
       1.044682486217e-03       4.006662126380e+03 
       1.315177329155e-03       4.955575537263e+03 
       1.655710160688e-03       6.105797326378e+03 
       2.084415595856e-03       7.485255928879e+03 
       2.624123762363e-03       9.116404316403e+03 
       3.303576088132e-03       1.100993749553e+04 
       4.158955887145e-03       1.315576637050e+04 
       5.235815252858e-03       1.551104499063e+04 
       6.591500873283e-03       1.798638124340e+04 
       8.298207951239e-03       2.042990444211e+04 
       1.044682486217e-02       2.261009660772e+04 
       1.315177329155e-02       2.420924078287e+04 
       1.655710160685e-02       2.483659007431e+04 
       2.084415577996e-02       2.410789706663e+04 
       2.624110415870e-02       2.184752727010e+04 
       3.301756412323e-02       1.840333669789e+04 
       4.099217389207e-02       1.496735015025e+04 
       4.769393382903e-02       1.300705306917e+04 
       5.255815388271e-02       1.204123610342e+04 
       5.657284861286e-02       1.143759685672e+04 
       6.015902433707e-02       1.098144892069e+04 
       6.350461761027e-02       1.058169954876e+04 
       6.670920661919e-02       1.019377723245e+04 
       6.983254450407e-02       9.792659134351e+03 
       7.291390331910e-02       9.367226002402e+03 
       7.598097312103e-02       8.914708621307e+03 
       7.905442044284e-02       8.438575756939e+03 
       8.215042266322e-02       7.947678404561e+03 
       8.528217034872e-02       7.454359607379e+03 
       8.846080475982e-02       6.971453442645e+03 
       9.169602788994e-02       6.513324874941e+03 
       9.499651334697e-02       6.092203275796e+03 
       9.837019109889e-02       5.717562224173e+03 
       1.018244494876e-01       5.395118240470e+03 
       1.053662812941e-01       5.125756166128e+03 
       1.090023909317e-01       4.906438927366e+03 
       1.127392739840e-01       4.729214542762e+03 
       1.165832766592e-01       4.582155052473e+03 
       1.205406404145e-01       4.450457870382e+03 
       1.246175354986e-01       4.318261134666e+03 
       1.288200861711e-01       4.170665027947e+03 
       1.331543896991e-01       3.997142546099e+03 
       1.376265307928e-01       3.794153996212e+03 
       1.422425928538e-01       3.565284568004e+03 
       1.470086672124e-01       3.322507124742e+03 
       1.519308614133e-01       3.081547527009e+03 
       1.570153075235e-01       2.859099682266e+03 
       1.622681713906e-01       2.668180128860e+03 
       1.676956637474e-01       2.514950717372e+03 
       1.733040540388e-01       2.397479962558e+03 
       1.790996878351e-01       2.305476018342e+03 
       1.850890086855e-01       2.224423905592e+03 
       1.912785852630e-01       2.137867894311e+03 
       1.976751446532e-01       2.033202024892e+03 
       2.042856126556e-01       1.908254043351e+03 
       2.111171619941e-01       1.772273499758e+03 
       2.181772693986e-01       1.639747589241e+03 
       2.254737826091e-01       1.523615706201e+03 
       2.330149985090e-01       1.430474356655e+03 
       2.408097538059e-01       1.358571331846e+03 
       2.488675299872e-01       1.297679828527e+03 
       2.571985746928e-01       1.234981815976e+03 
       2.658140422167e-01       1.163163143201e+03 
       2.747261565963e-01       1.083231923923e+03 
       2.839484017482e-01       1.004019878352e+03 
       2.934957444249e-01       9.350789699750e+02 
       3.033848975122e-01       8.792997863228e+02 
       3.136346335084e-01       8.315729729211e+02 
       3.242661611518e-01       7.843665988516e+02 
       3.353035823884e-01       7.331784992724e+02 
       3.467744526849e-01       6.808954742566e+02 
       3.587104757632e-01       6.331091210270e+02 
       3.711483752334e-01       5.922536935109e+02 
       3.841310019325e-01       5.551222878122e+02 
       3.977087595976e-01       5.178426447205e+02 
       4.119414668821e-01       4.802217599968e+02 
       4.269008273511e-01       4.450913582407e+02 
       4.426737621987e-01       4.134163535072e+02 
       4.593669924102e-01       3.834160156080e+02 
       4.771134724365e-01       3.536865231297e+02 
       4.960816396239e-01       3.253035895114e+02 
       5.164890737832e-01       2.989484469702e+02 
       5.386233004684e-01       2.733263426652e+02 
       5.628746223244e-01       2.484778777282e+02 
       5.897901289747e-01       2.247084038167e+02 
       6.201669857621e-01       2.013871074992e+02 
       6.552231011878e-01       1.785622217970e+02 
       6.969311504513e-01       1.558213881897e+02 
       7.487245417197e-01       1.328749495556e+02 
       8.171096653480e-01       1.092217840544e+02 
       9.154744218024e-01       8.441181652140e+01 
       1.071115131739e+00       5.885305717495e+01 
       1.318685279062e+00       3.621618393790e+01 
       1.657445480956e+00       2.103340431830e+01 
