# Matter power spectrum P(k) at redshift z=0
# for k=1.04572e-05 to 1.65909 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045719832428e-05       4.769543435649e+01 
       1.316483270661e-05       5.957734174371e+01 
       1.657354243637e-05       7.441920814356e+01 
       2.086485373660e-05       9.295832733553e+01 
       2.626729458237e-05       1.161155862764e+02 
       3.306856464883e-05       1.450411029013e+02 
       4.163085636797e-05       1.811711810469e+02 
       5.241014299639e-05       2.262992316194e+02 
       6.598046085393e-05       2.826640656259e+02 
       8.306447885090e-05       3.530595378207e+02 
       1.045719832428e-04       4.409701660510e+02 
       1.316483270661e-04       5.507380801925e+02 
       1.657354243637e-04       6.877666471544e+02 
       2.086485373660e-04       8.587656576675e+02 
       2.626729458237e-04       1.072040303400e+03 
       3.306856464883e-04       1.337821423344e+03 
       4.163085636797e-04       1.668625037672e+03 
       5.241014299639e-04       2.079618331372e+03 
       6.598046085393e-04       2.588954829504e+03 
       8.306447885090e-04       3.218020957683e+03 
       1.045719832428e-03       3.991463817797e+03 
       1.316483270661e-03       4.936709574076e+03 
       1.657354243637e-03       6.082438379624e+03 
       2.086485373660e-03       7.456436482070e+03 
       2.626729458237e-03       9.081014349970e+03 
       3.306856464883e-03       1.096675007136e+04 
       4.163085636797e-03       1.310348858466e+04 
       5.241014299639e-03       1.544841159520e+04 
       6.598046085393e-03       1.791232734473e+04 
       8.306447885090e-03       2.034376483535e+04 
       1.045719832428e-02       2.251193236822e+04 
       1.316483270661e-02       2.410018130634e+04 
       1.657354243634e-02       2.471877045253e+04 
       2.086485355206e-02       2.398784686941e+04 
       2.626715779581e-02       2.173203953096e+04 
       3.305003768130e-02       1.830084381516e+04 
       4.102624535782e-02       1.488455887166e+04 
       4.771783612301e-02       1.294014389097e+04 
       5.257680315244e-02       1.198141824116e+04 
       5.658901290546e-02       1.138180526322e+04 
       6.017384347128e-02       1.092740574311e+04 
       6.351865610972e-02       1.053007263439e+04 
       6.672278690145e-02       1.014401584481e+04 
       6.984587064449e-02       9.744780045848e+03 
       7.292711494068e-02       9.321219704096e+03 
       7.599417185573e-02       8.870714270305e+03 
       7.906768416325e-02       8.396736234572e+03 
       8.216381369754e-02       7.908113914686e+03 
       8.529574049720e-02       7.416833885195e+03 
       8.847459850093e-02       6.936664083923e+03 
       9.171008450788e-02       6.480745338620e+03 
       9.501086838792e-02       6.061860943476e+03 
       9.838487739362e-02       5.689221050202e+03 
       1.018394978849e-01       5.368437579190e+03 
       1.053817211954e-01       5.100563813153e+03 
       1.090182506863e-01       4.882478801564e+03 
       1.127555811833e-01       4.706257592678e+03 
       1.166000583575e-01       4.560095246952e+03 
       1.205579232945e-01       4.428933702030e+03 
       1.246353459964e-01       4.297331682757e+03 
       1.288384505698e-01       4.150330587472e+03 
       1.331733341995e-01       3.977502967350e+03 
       1.376460815680e-01       3.775348147721e+03 
       1.422627760922e-01       3.547467940202e+03 
       1.470295091547e-01       3.305813006046e+03 
       1.519523883878e-01       3.066028893808e+03 
       1.570375459829e-01       2.844729950578e+03 
       1.622911479554e-01       2.654897077161e+03 
       1.677194052587e-01       2.502526369683e+03 
       1.733285876254e-01       2.385725838068e+03 
       1.791250409969e-01       2.294302104267e+03 
       1.851152093987e-01       2.213597008297e+03 
       1.913056621093e-01       2.127386662774e+03 
       1.977031269780e-01       2.023026894838e+03 
       2.043145307572e-01       1.898699202837e+03 
       2.111470473503e-01       1.763384894029e+03 
       2.182081549323e-01       1.631482345921e+03 
       2.255057030003e-01       1.515987883671e+03 
       2.330479905567e-01       1.423388135584e+03 
       2.408438568478e-01       1.351897183561e+03 
       2.489027863851e-01       1.291309056307e+03 
       2.572350303942e-01       1.228877533386e+03 
       2.658517474050e-01       1.157300603997e+03 
       2.747651664478e-01       1.077767808812e+03 
       2.839887773162e-01       9.989678943919e+02 
       2.935375536804e-01       9.304071726541e+02 
       3.034282165768e-01       8.749406914120e+02 
       3.136795481295e-01       8.274567377629e+02 
       3.243127684825e-01       7.804619896350e+02 
       3.353519931581e-01       7.294953859673e+02 
       3.468247938748e-01       6.774695060134e+02 
       3.587628939430e-01       6.299355226411e+02 
       3.712030407714e-01       5.892969810687e+02 
       3.841881143785e-01       5.523490465654e+02 
       3.977685546598e-01       5.152409027327e+02 
       4.120042256055e-01       4.778013639226e+02 
       4.269668883885e-01       4.428516343841e+02 
       4.427435385121e-01       4.113385855611e+02 
       4.594409944538e-01       3.814813955832e+02 
       4.771923410578e-01       3.518945693569e+02 
       4.961661939380e-01       3.236524595315e+02 
       5.165803828510e-01       2.974295284418e+02 
       5.387227941887e-01       2.719313308111e+02 
       5.629842696459e-01       2.472053768224e+02 
       5.899127373106e-01       2.235490251568e+02 
       6.203067310324e-01       2.003395168959e+02 
       6.553865256952e-01       1.776236230713e+02 
       6.971291810631e-01       1.549837674716e+02 
       7.489769082685e-01       1.321495616817e+02 
       8.174552811941e-01       1.086036097205e+02 
       9.159953516900e-01       8.390517365735e+01 
       1.071965313407e+00       5.846830062871e+01 
       1.319960767348e+00       3.596359457163e+01 
       1.659088122312e+00       2.088467427625e+01 
