# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       4.892863487481e+06       3.156944833507e-11       9.472388263930e-02       5.166295703777e+07       1.468653025633e+04       3.001622116024e-03       7.185920233553e+10       5.468696254156e-02       1.577000470232e+15       2.917175593907e+11       1.565374607490e+12       3.530299370118e-08       1.090203567487e+15       2.669061129886e+15       2.669061129886e+15       8.890680125730e+14      -3.755009578110e+16       1.715866681737e-04       5.860478560552e-02 
       4.840551836625e+06       3.225539388385e-11       9.574737963521e-02       5.056435219099e+07       1.468652923284e+04       3.034060308507e-03       7.109092073818e+10       5.527783759890e-02       1.510632875378e+15       2.824606168608e+11       1.515701276856e+12       3.530299370118e-08       1.044322675223e+15       2.556753712494e+15       2.556753712494e+15       8.516518502002e+14      -3.558537675433e+16       1.716947679487e-04       5.857894295046e-02 
       4.788799471402e+06       3.295624286451e-11       9.678193360742e-02       4.948911101689e+07       1.468652819828e+04       3.066849054578e-03       7.033085315920e+10       5.587509551041e-02       1.447058340976e+15       2.734974207380e+11       1.467604207753e+12       3.530299370118e-08       1.000372666637e+15       2.449172109242e+15       2.449172109242e+15       8.158103358711e+14      -3.372345832469e+16       1.718028882430e-04       5.855325226797e-02 
       4.737600412258e+06       3.367231905246e-11       9.782766396711e-02       4.843673662631e+07       1.468652715255e+04       3.099992142554e-03       6.957891177909e+10       5.647880519653e-02       1.386159321910e+15       2.648186496995e+11       1.421033381381e+12       3.530299370118e-08       9.582722810659e+14       2.346117455007e+15       2.346117455007e+15       7.814772009919e+14      -3.195896156733e+16       1.719110292916e-04       5.852771464219e-02 
       4.686948743566e+06       3.440395325636e-11       9.888469140787e-02       4.740674269799e+07       1.468652609552e+04       3.133493401692e-03       6.883500971730e+10       5.708903632123e-02       1.327823219914e+15       2.564152782115e+11       1.375940366165e+12       3.530299370118e-08       9.179436776759e+14       2.247399253234e+15       2.247399253234e+15       7.485889658632e+14      -3.028678900596e+16       1.720191913318e-04       5.850233117000e-02 
       4.636838612948e+06       3.515148346991e-11       9.995313792751e-02       4.639865325376e+07       1.468652502708e+04       3.167356702627e-03       6.809906102210e+10       5.770585930003e-02       1.271942175386e+15       2.482785671436e+11       1.332278267384e+12       3.530299370118e-08       8.793122915420e+14       2.152835023762e+15       2.152835023762e+15       7.170848223093e+14      -2.870210988619e+16       1.721273746039e-04       5.847710296119e-02 
       4.587264230594e+06       3.591525502893e-11       1.010331268444e-01       4.541200243856e+07       1.468652394709e+04       3.201585957825e-03       6.737098066076e+10       5.832934530809e-02       1.218412867965e+15       2.404000546801e+11       1.290001678409e+12       3.530299370118e-08       8.423066957816e+14       2.062249965480e+15       2.062249965480e+15       6.869065212489e+14      -2.720034621933e+16       1.722355793509e-04       5.845203113863e-02 
       4.538219868597e+06       3.669562077071e-11       1.021247828012e-01       4.444633430518e+07       1.468652285543e+04       3.236185122029e-03       6.665068450965e+10       5.895956628840e-02       1.167136325496e+15       2.327715475205e+11       1.249066633479e+12       3.530299370118e-08       8.068584694914e+14       1.975476633168e+15       1.975476633168e+15       6.579982649956e+14      -2.577715955660e+16       1.723438058186e-04       5.842711683836e-02 
       4.489699860288e+06       3.749294119669e-11       1.032282317883e-01       4.350120260351e+07       1.468652175198e+04       3.271158192718e-03       6.593808934452e+10       5.959659496006e-02       1.118017741036e+15       2.253851123587e+11       1.209430561977e+12       3.530299370118e-08       7.729020712412e+14       1.892354627951e+15       1.892354627951e+15       6.303066040924e+14      -2.442843845520e+16       1.724520542554e-04       5.840236120972e-02 
       4.441698599584e+06       3.830758463922e-11       1.043436011587e-01       4.257617057428e+07       1.468652063661e+04       3.306509210571e-03       6.523311283093e+10       6.024050482659e-02       1.070966297566e+15       2.182330676324e+11       1.171052244163e+12       3.530299370118e-08       7.403747178927e+14       1.812730300771e+15       1.812730300771e+15       6.037803384863e+14      -2.315028660038e+16       1.725603249127e-04       5.837776541557e-02 
